,pidSzn,MIN,GP,Season,STL,BLK,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT,FREQ,D_FGM,D_FGA,D_FG_PCT,PCT_PLUSMINUS,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEFLECTIONS,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT
0,201985_2014-15,12.4,26,2014-15,0.3,0.0,0.3,0.4,0.7,1.0,1.95,4.23,0.462,0.043,2.8,2.6,11.1,0.0,0.0,0.0,0.0
1,201166_2014-15,23.0,82,2014-15,0.7,0.2,0.6,0.9,0.693,1.0,3.27,7.63,0.428,0.003,6.4,5.7,18.7,0.0,0.0,0.0,0.0
2,203932_2014-15,17.0,47,2014-15,0.4,0.5,0.9,1.5,0.577,1.0,2.52,6.2,0.407,-0.041,4.2,4.0,15.0,0.0,0.0,0.0,0.0
3,203940_2014-15,23.1,32,2014-15,0.6,0.3,2.8,3.9,0.72,1.0,5.06,9.0,0.563,0.094,7.8,7.2,25.0,0.0,0.0,0.0,0.0
4,201143_2014-15,30.5,76,2014-15,0.9,1.3,2.4,4.3,0.553,1.0,5.07,11.68,0.434,-0.028,9.3,7.1,26.2,0.0,0.0,0.0,0.0
5,2744_2014-15,30.6,65,2014-15,0.7,1.3,2.8,4.2,0.652,1.0,6.48,12.65,0.512,0.036,7.2,7.4,25.1,0.0,0.0,0.0,0.0
6,202329_2014-15,18.5,74,2014-15,0.9,0.8,1.0,1.7,0.567,1.0,3.27,7.31,0.447,0.003,5.4,5.6,14.7,0.0,0.0,0.0,0.0
7,101187_2014-15,23.6,74,2014-15,0.8,0.1,1.1,1.4,0.736,1.0,3.22,7.32,0.44,0.005,6.8,6.7,21.4,0.0,0.0,0.0,0.0
8,202692_2014-15,33.3,27,2014-15,0.6,0.2,1.9,2.6,0.732,1.0,5.26,10.26,0.513,0.067,10.2,9.2,32.3,0.0,0.0,0.0,0.0
9,203945_2014-15,2.8,5,2014-15,0.0,0.0,0.2,0.2,1.0,1.0,1.0,1.33,0.75,0.252,0.4,0.4,1.6,0.0,0.0,0.0,0.0
10,203458_2014-15,22.0,69,2014-15,0.5,1.5,2.7,5.2,0.529,1.0,4.97,10.79,0.46,-0.009,6.7,7.6,20.6,0.0,0.0,0.0,0.0
11,203144_2014-15,18.3,42,2014-15,0.7,0.1,0.9,1.2,0.72,1.0,2.78,5.58,0.498,0.065,5.0,5.7,16.0,0.0,0.0,0.0,0.0
12,201582_2014-15,14.1,68,2014-15,0.3,0.8,1.8,3.3,0.563,1.0,3.48,7.48,0.465,-0.001,4.3,3.9,13.4,0.0,0.0,0.0,0.0
13,203459_2014-15,13.4,51,2014-15,0.4,0.3,0.5,0.8,0.625,1.0,1.81,4.47,0.405,-0.02,3.9,3.9,12.7,0.0,0.0,0.0,0.0
14,202087_2014-15,12.2,54,2014-15,0.6,0.1,0.4,0.6,0.606,1.0,1.33,3.63,0.365,-0.075,4.1,3.4,11.3,0.0,0.0,0.0,0.0
15,2405_2014-15,21.3,58,2014-15,0.5,0.6,2.3,4.1,0.548,1.0,4.07,8.69,0.468,-0.01,5.6,5.0,17.0,0.0,0.0,0.0,0.0
16,101161_2014-15,26.4,75,2014-15,0.6,0.8,2.6,4.4,0.578,1.0,5.16,11.07,0.466,0.007,8.1,7.3,24.6,0.0,0.0,0.0,0.0
17,2760_2014-15,24.4,26,2014-15,0.7,0.6,2.7,4.0,0.667,1.0,6.0,11.88,0.505,0.029,5.3,6.1,23.8,0.0,0.0,0.0,0.0
18,203958_2014-15,5.4,4,2014-15,0.0,0.0,0.3,0.8,0.333,1.0,0.5,2.0,0.25,-0.18,2.5,3.0,4.1,0.0,0.0,0.0,0.0
19,203083_2014-15,30.5,82,2014-15,0.9,1.9,3.0,5.5,0.559,1.0,6.05,12.84,0.471,-0.005,8.6,7.3,27.1,0.0,0.0,0.0,0.0
20,2738_2014-15,26.9,77,2014-15,1.2,0.3,1.0,1.4,0.704,1.0,3.18,7.57,0.42,-0.016,8.2,7.5,23.6,0.0,0.0,0.0,0.0
21,1889_2014-15,15.5,81,2014-15,0.4,0.1,0.5,0.8,0.594,1.0,2.17,5.45,0.398,-0.026,4.0,5.0,12.6,0.0,0.0,0.0,0.0
22,203460_2014-15,19.2,67,2014-15,0.8,0.4,1.0,1.7,0.569,1.0,2.76,6.9,0.4,-0.043,4.4,4.9,16.3,0.0,0.0,0.0,0.0
23,200745_2014-15,27.1,29,2014-15,0.1,0.9,2.0,3.1,0.64,1.0,5.31,10.17,0.522,0.062,6.9,8.5,27.0,0.0,0.0,0.0,0.0
24,1905_2014-15,5.2,7,2014-15,0.1,0.0,0.3,0.6,0.5,1.0,0.83,2.17,0.385,-0.048,3.2,2.2,4.3,0.0,0.0,0.0,0.0
25,101106_2014-15,23.6,67,2014-15,0.6,1.7,2.2,4.8,0.452,1.0,4.56,10.94,0.417,-0.06,6.5,5.5,17.2,0.0,0.0,0.0,0.0
26,203094_2014-15,12.3,40,2014-15,0.2,0.3,0.9,1.6,0.578,1.0,2.18,4.76,0.459,0.008,3.2,2.5,9.3,0.0,0.0,0.0,0.0
27,203952_2014-15,36.3,81,2014-15,1.1,0.6,2.1,2.8,0.758,1.0,5.84,12.36,0.473,0.032,11.8,11.0,36.5,0.0,0.0,0.0,0.0
28,203461_2014-15,15.8,56,2014-15,0.5,0.3,1.4,1.9,0.74,1.0,3.33,6.31,0.527,0.07,4.1,5.1,16.1,0.0,0.0,0.0,0.0
29,203076_2014-15,36.1,68,2014-15,1.5,2.9,3.0,5.1,0.58,1.0,5.91,14.53,0.407,-0.053,9.4,9.8,35.2,0.0,0.0,0.0,0.0
30,201627_2014-15,24.4,74,2014-15,0.7,0.1,1.1,1.5,0.684,1.0,3.2,7.05,0.454,0.021,6.4,6.3,21.5,0.0,0.0,0.0,0.0
31,201229_2014-15,18.9,76,2014-15,0.3,0.2,1.4,2.3,0.626,1.0,3.71,7.53,0.493,0.044,5.5,5.1,17.7,0.0,0.0,0.0,0.0
32,203462_2014-15,13.0,41,2014-15,0.4,0.2,0.7,1.1,0.622,1.0,2.33,4.94,0.472,0.037,4.0,4.9,13.1,0.0,0.0,0.0,0.0
33,202620_2014-15,11.4,6,2014-15,0.2,0.5,0.8,1.2,0.714,1.0,2.5,5.75,0.435,-0.052,6.2,3.0,12.5,0.0,0.0,0.0,0.0
34,203382_2014-15,16.0,70,2014-15,0.2,0.3,1.3,2.5,0.52,1.0,2.94,6.75,0.436,-0.027,3.6,4.4,14.0,0.0,0.0,0.0,0.0
35,201167_2014-15,32.1,78,2014-15,0.5,0.1,1.0,1.4,0.682,1.0,3.96,9.36,0.423,-0.013,9.0,9.4,29.9,0.0,0.0,0.0,0.0
36,201948_2014-15,10.1,34,2014-15,0.4,0.1,0.6,0.9,0.656,1.0,2.11,4.57,0.461,0.034,2.6,3.3,8.8,0.0,0.0,0.0,0.0
37,203085_2014-15,20.6,76,2014-15,0.6,0.2,0.7,1.0,0.703,1.0,2.89,6.11,0.474,0.043,5.8,6.5,19.0,0.0,0.0,0.0,0.0
38,202340_2014-15,31.5,77,2014-15,1.1,0.2,1.3,1.7,0.737,1.0,3.76,8.41,0.448,0.017,8.3,7.6,30.1,0.0,0.0,0.0,0.0
39,2732_2014-15,14.1,56,2014-15,0.3,0.0,0.4,0.5,0.821,1.0,1.48,3.36,0.44,0.021,3.9,3.7,12.7,0.0,0.0,0.0,0.0
40,203463_2014-15,32.6,82,2014-15,0.9,0.2,1.6,2.5,0.672,1.0,4.84,11.07,0.437,0.001,9.2,10.9,29.2,0.0,0.0,0.0,0.0
41,2757_2014-15,18.9,79,2014-15,0.6,0.1,0.8,1.1,0.706,1.0,3.36,7.35,0.458,0.027,4.7,5.6,15.4,0.0,0.0,0.0,0.0
42,203108_2014-15,9.9,16,2014-15,0.1,0.9,0.6,1.5,0.417,1.0,1.47,4.47,0.328,-0.131,2.6,3.4,6.7,0.0,0.0,0.0,0.0
43,202687_2014-15,19.4,64,2014-15,0.3,1.5,1.6,3.0,0.537,1.0,3.33,7.39,0.45,-0.028,5.3,3.7,14.3,0.0,0.0,0.0,0.0
44,201933_2014-15,35.2,67,2014-15,0.9,0.5,2.4,4.1,0.596,1.0,6.04,13.27,0.456,-0.005,9.1,8.2,29.7,0.0,0.0,0.0,0.0
45,202711_2014-15,23.8,78,2014-15,0.4,0.1,1.1,1.7,0.662,1.0,3.4,7.74,0.44,0.006,7.5,6.9,22.5,0.0,0.0,0.0,0.0
46,2564_2014-15,24.5,81,2014-15,0.4,0.3,2.0,3.3,0.624,1.0,4.68,10.01,0.467,0.017,5.6,6.6,22.1,0.0,0.0,0.0,0.0
47,203078_2014-15,33.5,63,2014-15,1.2,0.3,1.3,1.8,0.705,1.0,4.59,10.37,0.443,0.008,8.5,8.3,27.1,0.0,0.0,0.0,0.0
48,201148_2014-15,19.3,75,2014-15,0.7,1.3,2.1,3.7,0.556,1.0,3.85,8.3,0.464,0.005,5.5,6.2,17.5,0.0,0.0,0.0,0.0
49,101138_2014-15,23.5,82,2014-15,0.5,0.4,1.5,2.2,0.665,1.0,4.01,8.59,0.467,0.013,6.8,5.9,22.8,0.0,0.0,0.0,0.0
50,203561_2014-15,15.7,27,2014-15,0.7,0.3,1.6,2.3,0.694,1.0,4.08,7.44,0.548,0.089,5.4,5.4,14.9,0.0,0.0,0.0,0.0
51,201943_2014-15,28.6,41,2014-15,1.1,0.1,0.9,1.2,0.755,1.0,3.37,7.32,0.46,0.02,8.6,6.9,26.8,0.0,0.0,0.0,0.0
52,202688_2014-15,32.3,62,2014-15,1.4,0.2,1.3,1.7,0.755,1.0,4.03,9.34,0.432,0.001,9.5,8.5,27.9,0.0,0.0,0.0,0.0
53,201575_2014-15,8.2,33,2014-15,0.2,0.4,0.7,0.9,0.71,1.0,1.61,3.06,0.526,0.107,2.2,4.8,9.3,0.0,0.0,0.0,0.0
54,2217_2014-15,5.4,22,2014-15,0.1,0.5,0.6,0.9,0.65,1.0,1.47,3.76,0.391,-0.075,1.6,2.0,4.5,0.0,0.0,0.0,0.0
55,203148_2014-15,18.5,72,2014-15,0.5,0.1,0.5,0.8,0.667,1.0,2.52,6.15,0.41,-0.017,5.5,4.4,15.1,0.0,0.0,0.0,0.0
56,201572_2014-15,29.2,72,2014-15,0.6,1.8,3.3,5.7,0.583,1.0,6.65,14.38,0.463,-0.012,8.0,8.4,26.6,0.0,0.0,0.0,0.0
57,203998_2014-15,2.9,8,2014-15,0.0,0.1,0.5,0.6,0.8,1.0,1.25,1.75,0.714,0.282,0.5,1.5,3.3,0.0,0.0,0.0,0.0
58,203955_2014-15,10.6,15,2014-15,0.3,0.0,0.7,0.9,0.786,1.0,2.0,3.83,0.522,0.099,2.6,2.4,9.5,0.0,0.0,0.0,0.0
59,201228_2014-15,24.9,57,2014-15,1.0,0.2,0.7,1.2,0.576,1.0,3.21,7.89,0.407,-0.016,6.3,7.1,20.4,0.0,0.0,0.0,0.0
60,203912_2014-15,4.8,21,2014-15,0.1,0.0,0.3,0.3,0.857,1.0,1.0,1.76,0.567,0.166,1.9,1.9,4.7,0.0,0.0,0.0,0.0
61,203468_2014-15,15.7,62,2014-15,0.7,0.1,0.5,0.9,0.642,1.0,2.23,5.8,0.385,-0.04,3.9,4.0,13.0,0.0,0.0,0.0,0.0
62,101139_2014-15,26.3,70,2014-15,0.9,0.4,0.7,1.1,0.65,1.0,3.0,7.59,0.395,-0.038,6.3,7.3,20.4,0.0,0.0,0.0,0.0
