,pidSzn,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,MIN,GP,Season,PFD,DRIVE_PF,DRIVE_PF_PCT,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
0,201985_2014-15,0.0,0.0,0.0,12.6,26,2014-15,1.2,0.2,0.04,0.89,0.5,0.39,4.29,4.57,3.98
1,201166_2014-15,0.0,0.0,0.0,23.3,82,2014-15,1.8,0.5,0.047,1.58,0.87,0.71,4.15,4.48,3.81
2,203932_2014-15,0.0,0.0,0.0,17.2,47,2014-15,1.1,0.2,0.087,1.26,0.67,0.58,4.46,4.95,4.02
3,203940_2014-15,0.0,0.0,0.0,23.4,32,2014-15,1.4,0.2,0.089,1.62,0.87,0.75,4.2,4.5,3.89
4,201143_2014-15,0.0,0.0,0.0,30.9,76,2014-15,1.7,0.2,0.091,2.03,1.06,0.97,4.01,4.29,3.74
5,2744_2014-15,0.0,0.0,0.0,31.0,65,2014-15,2.1,0.0,0.111,1.93,1.04,0.9,3.79,3.95,3.63
6,202329_2014-15,0.0,0.0,0.0,18.7,74,2014-15,1.3,0.2,0.123,1.4,0.74,0.66,4.56,4.91,4.22
7,101187_2014-15,0.0,0.0,0.0,23.9,74,2014-15,1.8,0.2,0.056,1.61,0.83,0.79,4.11,4.24,3.97
8,202692_2014-15,0.0,0.0,0.0,33.7,27,2014-15,3.6,0.7,0.1,2.35,1.27,1.07,4.24,4.49,3.97
9,203945_2014-15,0.0,0.0,0.0,2.8,5,2014-15,0.2,0.0,0.0,0.19,0.1,0.09,3.86,4.27,4.3
10,203458_2014-15,0.0,0.0,0.0,22.3,69,2014-15,1.5,0.0,0.0,1.5,0.79,0.71,4.11,4.46,3.78
11,203144_2014-15,0.0,0.0,0.0,18.5,42,2014-15,2.4,0.9,0.141,1.28,0.69,0.59,4.22,4.5,3.94
12,201582_2014-15,0.0,0.0,0.0,14.3,68,2014-15,1.4,0.1,0.098,0.93,0.51,0.42,3.97,4.22,3.71
13,203459_2014-15,0.0,0.0,0.0,13.6,51,2014-15,0.4,0.0,0.074,0.98,0.53,0.44,4.37,4.72,4.04
14,202087_2014-15,0.0,0.0,0.0,12.4,54,2014-15,0.9,0.2,0.109,0.9,0.45,0.45,4.42,4.63,4.22
15,2405_2014-15,0.0,0.0,0.0,21.4,59,2014-15,3.2,0.1,0.12,1.38,0.74,0.64,3.9,4.04,3.74
16,101161_2014-15,0.0,0.0,0.0,26.7,75,2014-15,1.8,0.2,0.153,1.8,0.94,0.86,4.08,4.18,3.98
17,2760_2014-15,0.0,0.0,0.0,24.8,26,2014-15,1.9,0.1,0.136,1.79,0.94,0.85,4.41,4.61,4.21
18,203958_2014-15,0.0,0.0,0.0,5.5,4,2014-15,0.0,0.0,0.0,0.37,0.21,0.16,4.15,4.21,3.5
19,203083_2014-15,0.0,0.0,0.0,30.9,82,2014-15,3.4,0.0,0.167,2.05,1.06,1.0,4.05,4.14,3.96
20,2738_2014-15,0.0,0.0,0.0,27.2,77,2014-15,1.8,0.1,0.065,1.89,0.98,0.91,4.17,4.6,3.78
21,1889_2014-15,0.0,0.0,0.0,15.7,81,2014-15,1.1,0.2,0.06,1.02,0.57,0.45,3.96,4.31,3.6
22,203460_2014-15,0.0,0.0,0.0,19.4,67,2014-15,0.5,0.1,0.119,1.48,0.76,0.72,4.66,4.9,4.43
23,200745_2014-15,0.0,0.0,0.0,27.4,29,2014-15,3.6,0.4,0.169,1.77,0.98,0.79,3.92,4.1,3.73
24,1905_2014-15,0.0,0.0,0.0,5.3,7,2014-15,0.3,0.0,0.0,0.39,0.22,0.18,4.58,4.78,4.03
25,101106_2014-15,0.0,0.0,0.0,23.9,67,2014-15,1.1,0.0,0.042,1.48,0.76,0.73,3.71,4.19,3.32
26,203094_2014-15,0.0,0.0,0.0,12.5,40,2014-15,0.9,0.1,0.125,0.85,0.45,0.39,4.13,4.52,3.75
27,203952_2014-15,0.0,0.0,0.0,36.7,82,2014-15,4.6,0.8,0.151,2.49,1.32,1.17,4.13,4.37,3.89
28,203461_2014-15,0.0,0.0,0.0,15.9,57,2014-15,0.9,0.1,0.121,1.11,0.6,0.5,4.21,4.54,3.88
29,203076_2014-15,0.0,0.0,0.0,36.6,68,2014-15,5.6,0.4,0.148,2.35,1.26,1.09,3.91,4.13,3.67
30,201627_2014-15,0.0,0.0,0.0,24.7,74,2014-15,1.2,0.1,0.037,1.67,0.87,0.79,4.11,4.36,3.86
31,201229_2014-15,0.0,0.0,0.0,19.1,76,2014-15,1.1,0.1,0.143,1.36,0.74,0.62,4.33,4.74,3.92
32,203462_2014-15,0.0,0.0,0.0,13.2,41,2014-15,1.8,0.3,0.082,0.96,0.51,0.45,4.45,4.68,4.22
33,202620_2014-15,0.0,0.0,0.0,11.5,6,2014-15,0.7,0.2,1.0,0.72,0.36,0.36,3.79,4.15,3.64
34,203382_2014-15,0.0,0.0,0.0,16.2,70,2014-15,1.7,0.0,0.12,1.12,0.6,0.52,4.2,4.48,3.92
35,201167_2014-15,0.0,0.0,0.0,32.5,78,2014-15,1.9,0.2,0.044,2.22,1.18,1.04,4.17,4.51,3.83
36,201948_2014-15,0.0,0.0,0.0,10.3,34,2014-15,0.2,0.1,0.045,0.71,0.38,0.33,4.24,4.53,3.95
37,203085_2014-15,0.0,0.0,0.0,20.8,76,2014-15,1.4,0.4,0.073,1.49,0.8,0.69,4.35,4.61,4.07
38,202340_2014-15,0.0,0.0,0.0,31.9,77,2014-15,1.2,0.1,0.058,2.27,1.15,1.12,4.33,4.55,4.12
39,2732_2014-15,0.0,0.0,0.0,14.3,56,2014-15,1.2,0.2,0.073,0.97,0.52,0.45,4.13,4.49,3.78
40,203463_2014-15,0.0,0.0,0.0,33.0,82,2014-15,1.6,0.2,0.078,2.45,1.28,1.16,4.51,4.75,4.27
41,2757_2014-15,0.0,0.0,0.0,19.2,79,2014-15,1.2,0.2,0.055,1.43,0.81,0.62,4.54,5.08,3.98
42,203108_2014-15,0.0,0.0,0.0,10.0,16,2014-15,0.9,0.1,0.333,0.66,0.34,0.33,4.04,4.15,3.93
43,202687_2014-15,0.0,0.0,0.0,19.7,64,2014-15,2.2,0.0,0.0,1.33,0.7,0.63,4.1,4.32,3.89
44,201933_2014-15,0.0,0.0,0.0,35.6,67,2014-15,5.9,0.3,0.144,2.23,1.14,1.09,3.8,4.05,3.58
45,202711_2014-15,0.0,0.0,0.0,24.1,78,2014-15,1.2,0.1,0.06,1.69,0.87,0.82,4.27,4.42,4.13
46,2564_2014-15,0.0,0.0,0.0,24.8,81,2014-15,1.4,0.2,0.067,1.72,0.96,0.76,4.22,4.67,3.77
47,203078_2014-15,0.0,0.0,0.0,33.9,63,2014-15,2.3,0.3,0.053,2.46,1.32,1.14,4.41,4.8,4.03
48,201148_2014-15,0.0,0.0,0.0,19.6,75,2014-15,1.3,0.0,0.077,1.28,0.66,0.62,3.96,4.19,3.75
49,101138_2014-15,0.0,0.0,0.0,23.8,82,2014-15,1.9,0.2,0.123,1.61,0.84,0.76,4.12,4.48,3.78
50,203561_2014-15,0.0,0.0,0.0,15.9,27,2014-15,1.7,0.1,0.125,1.19,0.64,0.55,4.57,4.97,4.18
51,201943_2014-15,0.0,0.0,0.0,29.0,41,2014-15,3.1,0.6,0.055,2.12,1.19,0.93,4.45,4.86,4.03
52,202688_2014-15,0.0,0.0,0.0,32.7,63,2014-15,3.6,0.5,0.051,2.33,1.24,1.09,4.33,4.8,3.89
53,201575_2014-15,0.0,0.0,0.0,8.3,33,2014-15,0.2,0.1,0.115,0.61,0.34,0.27,4.39,4.66,4.1
54,2217_2014-15,0.0,0.0,0.0,5.5,22,2014-15,0.5,0.0,0.0,0.36,0.2,0.16,3.98,4.19,3.75
55,203148_2014-15,0.0,0.0,0.0,18.7,72,2014-15,1.4,0.2,0.062,1.34,0.75,0.58,4.36,4.8,3.9
56,201572_2014-15,0.0,0.0,0.0,29.6,72,2014-15,3.3,0.2,0.14,1.87,0.96,0.91,3.85,3.94,3.76
57,203998_2014-15,0.0,0.0,0.0,3.0,8,2014-15,0.0,0.0,0.0,0.22,0.13,0.09,4.36,4.21,4.58
58,203955_2014-15,0.0,0.0,0.0,10.8,15,2014-15,1.0,0.1,0.03,0.82,0.46,0.36,4.65,5.02,4.25
