,pidSzn,SCREEN_ASSISTS,SCREEN_AST_PTS,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCHES,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCHES,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCHES,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_TO_PASS_PCT,PASSES_MADE,PASSES_RECEIVED,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,MIN,GP,Season,AST_PCT,AST_TO,AST_RATIO,TOV
0,201985_2014-15,0.0,0.0,0.1,0.286,0.0,0.0,0.1,0.286,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.167,0.2,1.8,0.2,0.2,4.3,0.078,22.8,26.9,1.7,0.436,0.3,0.089,0.2,0.059,30.3,11.6,2.9,5.67,5.92,12.4,26,2014-15,0.254,3.29,22.2,0.5
1,201166_2014-15,0.0,0.0,0.2,0.394,0.0,0.0,0.0,0.061,0.4,0.0,0.333,0.0,0.0,0.0,0.333,0.0,0.1,0.429,0.0,0.167,0.0,0.071,0.3,3.2,0.5,0.6,7.5,0.082,38.7,47.7,3.8,0.362,0.9,0.089,0.7,0.069,53.4,21.3,4.8,5.37,5.82,23.0,82,2014-15,0.245,1.66,20.0,1.9
2,203932_2014-15,0.0,0.0,0.3,0.181,0.0,0.012,0.0,0.024,1.8,0.0,0.2,0.0,0.1,0.0,0.1,0.2,0.3,0.429,0.0,0.083,0.0,0.071,0.6,0.7,0.0,0.1,1.6,0.043,16.3,11.8,0.4,0.217,0.0,0.022,0.2,0.12,22.4,12.6,0.7,1.94,1.17,17.0,47,2014-15,0.064,0.87,10.8,0.8
3,203940_2014-15,0.0,0.0,1.2,0.362,0.2,0.048,0.1,0.038,3.3,0.6,0.328,0.1,0.066,0.1,0.066,1.9,1.5,0.458,0.2,0.122,0.3,0.075,3.3,0.9,0.1,0.0,2.6,0.032,29.6,18.9,0.2,0.125,0.0,0.018,0.2,0.107,39.3,19.4,1.1,1.73,0.44,23.1,32,2014-15,0.067,0.68,9.5,1.4
4,201143_2014-15,0.0,0.0,2.5,0.396,0.5,0.086,0.1,0.023,6.3,1.5,0.327,0.4,0.09,0.3,0.066,4.6,3.2,0.561,0.4,0.119,0.1,0.016,5.7,3.2,0.2,0.4,5.5,0.076,42.4,39.5,0.6,0.315,0.2,0.084,0.1,0.028,58.2,39.6,1.7,1.7,0.59,30.5,76,2014-15,0.178,2.44,17.8,1.3
5,2744_2014-15,0.0,0.0,1.2,0.22,0.1,0.022,0.3,0.05,5.5,6.0,0.336,1.1,0.062,0.6,0.034,17.7,1.7,0.491,0.2,0.124,0.1,0.022,3.5,1.7,0.2,0.5,3.7,0.082,21.3,30.1,0.0,0.111,0.0,0.111,0.0,0.111,39.8,31.3,1.5,2.29,0.56,30.6,65,2014-15,0.11,1.66,8.9,1.1
6,202329_2014-15,0.0,0.0,1.0,0.376,0.2,0.066,0.2,0.061,2.7,0.1,0.462,0.0,0.0,0.0,0.0,0.2,0.5,0.556,0.0,0.029,0.1,0.063,0.9,0.8,0.1,0.1,1.8,0.043,18.5,12.6,0.6,0.352,0.1,0.041,0.2,0.115,25.6,14.8,0.7,1.66,0.69,18.5,74,2014-15,0.062,1.07,11.3,0.8
7,101187_2014-15,0.0,0.0,0.4,0.419,0.1,0.068,0.1,0.054,1.0,0.1,0.409,0.0,0.136,0.0,0.045,0.3,0.2,0.533,0.0,0.188,0.0,0.1,0.4,1.1,0.2,0.1,2.4,0.065,17.2,17.7,1.0,0.326,0.2,0.077,0.2,0.077,25.4,17.4,1.0,2.44,1.37,23.6,74,2014-15,0.074,1.38,13.3,0.8
8,202692_2014-15,0.0,0.0,0.3,0.308,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.353,0.1,0.5,0.0,0.0,0.6,3.0,0.6,0.4,6.9,0.064,47.7,55.0,1.6,0.226,0.4,0.063,0.4,0.058,64.7,45.6,3.1,2.9,2.31,33.3,27,2014-15,0.145,1.58,16.8,2.0
9,203945_2014-15,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.071,2.8,3.0,0.2,1.0,0.0,0.0,0.0,0.0,3.8,3.0,0.1,2.0,1.11,2.8,5,2014-15,0.125,0.0,16.7,0.0
10,203458_2014-15,0.0,0.0,1.5,0.278,0.2,0.035,0.3,0.059,5.4,0.4,0.333,0.0,0.024,0.1,0.083,1.2,1.1,0.52,0.1,0.076,0.1,0.046,2.2,0.5,0.0,0.0,1.3,0.02,23.6,12.9,0.0,0.1,0.0,0.0,0.0,0.0,30.9,14.0,0.7,1.36,0.24,22.0,69,2014-15,0.03,0.43,6.4,1.1
11,203144_2014-15,0.0,0.0,0.2,0.276,0.0,0.0,0.1,0.103,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.444,0.0,0.25,0.0,0.111,0.4,2.5,0.4,0.2,6.3,0.088,28.8,35.7,2.0,0.316,0.7,0.115,0.2,0.037,40.8,23.3,2.5,3.69,3.13,18.3,42,2014-15,0.26,2.21,19.1,1.2
