,pidSzn,MIN,GP,Season,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,AVG_OREB_DIST,AVG_DREB_DIST,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
0,201985_2014-15,12.4,26,2014-15,0.2,0.167,0.8,0.3,0.0,0.3,0.7,0.308,1.8,0.542,0.2,15.1,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,201166_2014-15,23.0,82,2014-15,0.2,0.375,1.9,0.209,0.1,0.2,1.4,0.149,3.6,0.453,0.3,11.9,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,203932_2014-15,17.0,47,2014-15,0.2,0.739,2.3,0.418,0.1,0.8,1.8,0.309,4.4,0.591,0.4,5.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,203940_2014-15,23.1,32,2014-15,0.8,0.542,3.7,0.41,0.2,1.2,2.3,0.325,5.9,0.606,0.5,8.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,201143_2014-15,30.5,76,2014-15,0.7,0.611,3.5,0.494,0.1,2.5,2.9,0.458,9.3,0.584,0.7,7.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2744_2014-15,30.6,65,2014-15,0.6,0.596,3.6,0.418,0.1,2.5,4.3,0.363,10.8,0.641,0.8,8.6,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,202329_2014-15,18.5,74,2014-15,0.5,0.649,3.4,0.46,0.2,1.1,1.9,0.364,5.3,0.586,0.6,6.7,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,101187_2014-15,23.6,74,2014-15,0.2,0.484,1.7,0.25,0.1,0.5,1.7,0.231,4.2,0.556,0.5,10.4,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,202692_2014-15,33.3,27,2014-15,0.3,0.526,3.1,0.229,0.1,0.7,2.8,0.2,6.0,0.583,0.6,9.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,203945_2014-15,2.8,5,2014-15,0.0,1.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,203458_2014-15,22.0,69,2014-15,0.5,0.739,4.9,0.424,0.1,2.3,2.2,0.51,8.6,0.526,1.0,5.1,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
