,pidSzn,EFG_PCT,TS_PCT,USG_PCT,MIN,GP,Season,DD2,TD3,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_TOUCH,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,FG2A_FREQUENCY,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3A,FG3_PCT
0,201985_2014-15,0.427,0.451,0.218,12.6,26,2014-15,0,0,1.1,0.5,0.2,1.2,0.333,3.0,0.571,0.169,1.6,0.486,1.2,0.323,2.8,0.405,0.2,0.5,0.1,1.0,0.1,0.5,0.568,2.88,0.48,0.432,2.19,0.263
1,201166_2014-15,0.495,0.534,0.246,23.3,82,2014-15,1,0,0.8,0.6,1.1,4.3,0.464,0.0,0.303,0.218,4.9,0.465,2.6,0.423,3.5,0.386,0.1,0.294,0.0,0.0,0.2,0.455,0.597,5.54,0.485,0.403,3.74,0.394
2,203932_2014-15,0.478,0.517,0.151,17.2,47,2014-15,1,0,1.3,1.0,1.1,3.2,0.643,0.4,1.157,0.231,1.2,0.449,0.9,0.246,0.3,0.286,2.0,0.695,0.1,0.333,0.4,0.667,0.751,3.09,0.552,0.249,1.02,0.271
3,203940_2014-15,0.416,0.443,0.173,23.4,32,2014-15,3,0,0.9,1.3,0.2,3.6,0.327,0.344,0.648,0.169,1.0,0.361,2.0,0.369,0.6,0.417,2.1,0.5,0.7,0.323,1.1,0.333,0.957,6.28,0.448,0.043,0.28,0.111
4,201143_2014-15,0.544,0.563,0.22,30.9,76,2014-15,14,1,1.9,1.8,1.3,8.1,0.405,0.457,0.775,0.261,1.3,0.567,5.7,0.471,0.4,0.4,4.8,0.669,2.1,0.456,2.3,0.476,0.961,11.74,0.57,0.039,0.47,0.306
5,2744_2014-15,0.482,0.5,0.265,31.0,65,2014-15,22,0,2.0,1.8,0.4,10.7,0.496,0.542,0.866,0.418,0.1,0.4,3.8,0.433,1.1,0.33,4.8,0.577,9.6,0.474,1.8,0.5,0.995,14.65,0.508,0.005,0.08,0.4
6,202329_2014-15,0.459,0.504,0.146,18.7,74,2014-15,4,0,1.5,0.9,1.2,2.9,0.524,0.462,0.609,0.218,0.8,0.395,1.5,0.268,0.2,0.364,1.6,0.526,0.1,0.429,0.4,0.647,0.63,2.85,0.536,0.37,1.68,0.274
7,101187_2014-15,0.526,0.563,0.139,23.9,74,2014-15,0,0,1.0,0.7,0.6,2.5,0.267,0.273,0.797,0.29,1.7,0.53,2.6,0.372,1.1,0.321,0.8,0.743,0.1,0.429,0.1,0.333,0.496,2.76,0.598,0.504,2.8,0.353
8,202692_2014-15,0.447,0.524,0.206,33.7,27,2014-15,2,0,2.0,1.2,2.8,4.6,0.824,0.0,0.731,0.214,3.7,0.333,2.2,0.42,3.4,0.362,0.7,0.563,0.0,0.0,0.5,0.6,0.754,7.7,0.457,0.246,2.52,0.382
9,203945_2014-15,0.25,0.41,0.167,2.8,5,2014-15,0,0,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,1.0,0.8,0.25,0.0,0.0,
10,203458_2014-15,0.508,0.542,0.133,22.3,69,2014-15,10,0,0.9,1.9,0.4,4.4,0.296,0.464,0.773,0.203,0.1,0.444,0.9,0.309,0.1,0.286,4.2,0.573,0.6,0.429,0.7,0.356,0.991,4.62,0.558,0.009,0.04,0.333
11,203144_2014-15,0.467,0.541,0.251,18.5,42,2014-15,2,0,1.4,1.1,2.1,3.5,0.833,0.0,0.724,0.253,3.7,0.444,1.8,0.342,2.2,0.31,0.5,0.533,0.0,0.0,0.4,0.833,0.553,4.07,0.503,0.447,3.29,0.341
12,201582_2014-15,0.55,0.595,0.21,14.3,68,2014-15,5,0,0.6,1.5,0.1,3.9,0.37,0.772,0.751,0.325,0.6,0.696,1.0,0.413,0.4,0.565,2.9,0.556,1.3,0.603,1.3,0.603,1.0,4.57,0.582,0.0,0.0,
13,203459_2014-15,0.51,0.525,0.111,13.6,51,2014-15,0,0,0.8,0.4,0.7,1.1,0.833,0.0,1.063,0.209,0.3,0.545,1.9,0.358,0.1,0.083,0.3,0.778,0.0,0.0,0.1,0.667,0.437,1.29,0.5,0.563,1.67,0.353
14,202087_2014-15,0.503,0.548,0.164,12.4,54,2014-15,0,0,1.3,0.8,1.5,2.6,0.429,0.571,0.886,0.32,1.0,0.4,0.8,0.389,0.1,0.182,1.1,0.718,0.1,0.0,0.2,0.5,0.784,2.35,0.583,0.216,0.65,0.371
15,2405_2014-15,0.557,0.595,0.232,21.4,59,2014-15,4,0,1.7,2.3,0.3,8.1,0.332,0.67,0.863,0.333,0.3,0.357,1.1,0.372,0.2,0.333,4.7,0.637,4.7,0.523,1.6,0.547,0.991,7.6,0.619,0.009,0.07,0.0
16,101161_2014-15,0.592,0.603,0.155,26.7,75,2014-15,6,0,1.1,2.2,0.8,7.2,0.556,0.319,0.836,0.214,0.9,0.581,1.2,0.438,0.1,0.4,5.1,0.632,0.4,0.394,1.7,0.578,0.901,5.61,0.663,0.099,0.61,0.413
17,2760_2014-15,0.555,0.58,0.182,24.8,26,2014-15,2,0,1.2,1.2,0.9,6.6,0.536,0.441,0.624,0.253,0.5,0.364,2.0,0.52,0.3,0.5,4.3,0.549,0.6,0.583,3.1,0.649,0.989,7.0,0.61,0.011,0.08,0.0
18,203958_2014-15,0.25,0.25,0.149,5.5,4,2014-15,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.5,0.167
19,203083_2014-15,0.514,0.504,0.217,30.9,82,2014-15,48,0,2.0,5.0,2.0,12.0,0.3,0.545,0.868,0.437,0.1,0.385,0.1,0.273,0.1,0.273,11.0,0.55,2.7,0.385,0.7,0.533,0.998,10.99,0.548,0.002,0.02,0.0
20,2738_2014-15,0.54,0.553,0.131,27.2,77,2014-15,0,0,2.1,0.4,2.4,3.2,0.592,0.205,0.761,0.177,0.8,0.434,2.7,0.343,1.2,0.381,0.9,0.756,0.1,0.25,0.4,0.706,0.566,3.58,0.569,0.434,2.75,0.349
21,1889_2014-15,0.512,0.548,0.152,15.7,81,2014-15,1,0,0.5,0.5,0.3,2.7,0.235,0.413,0.688,0.113,1.6,0.486,0.3,0.321,1.0,0.441,0.8,0.61,0.4,0.5,0.0,0.25,0.87,2.8,0.608,0.13,0.42,0.206
22,203460_2014-15,0.51,0.513,0.088,19.4,67,2014-15,1,0,0.8,0.5,0.9,2.1,0.444,0.0,0.586,0.158,0.5,0.448,0.9,0.256,0.0,0.2,1.0,0.593,0.0,0.0,0.2,0.714,0.546,1.49,0.71,0.454,1.24,0.253
23,200745_2014-15,0.475,0.527,0.258,27.4,29,2014-15,2,0,1.5,1.8,0.5,5.3,0.622,0.471,0.775,0.308,2.0,0.471,7.1,0.463,1.6,0.426,3.0,0.5,2.5,0.418,4.1,0.573,0.884,10.79,0.476,0.116,1.41,0.366
24,1905_2014-15,0.0,0.222,0.092,5.3,7,2014-15,0,0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.43,0.0,0.0,0.0,
25,101106_2014-15,0.563,0.565,0.131,23.9,67,2014-15,6,0,0.9,1.9,0.2,5.9,0.384,0.24,0.803,0.148,0.2,0.462,0.0,0.333,0.1,0.278,4.7,0.616,0.7,0.453,1.1,0.486,1.0,5.01,0.595,0.0,0.0,
26,203094_2014-15,0.471,0.483,0.207,12.5,40,2014-15,0,0,0.8,0.5,0.1,1.9,0.385,0.509,0.784,0.237,0.2,0.3,2.2,0.384,0.5,0.529,1.0,0.581,0.7,0.355,0.3,0.625,0.782,3.68,0.476,0.218,1.03,0.317
