,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,Season
0,Lineups,-101108-203109-1626164-1628969-1629028-,C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton,1610612756,PHX,52,38,14,0.731,706.0,117.4,115.9,110.9,111.2,6.5,4.7,0.633,2.42,20.3,0.217,0.748,0.49,0.115,0.579,0.611,99.7,100.11,83.43,1475,0.537,1,1,14812,5167,1,5131,8597,6007,5719,1726,4040,6439,7102,7844,8280,5222,5497,10107,6118,2020-21
1,Lineups,-201980-202699-203552-203954-1627732-,D. Green - T. Harris - S. Curry - J. Embiid - B. Simmons,1610612755,PHI,32,27,5,0.844,656.0,117.3,117.7,103.4,103.7,13.9,14.0,0.609,2.02,19.0,0.217,0.76,0.507,0.127,0.579,0.621,100.9,100.57,83.81,1384,0.589,13,5,14448,4835,2,4871,7835,5229,5950,1974,5163,6440,6340,5580,8800,5223,5251,9890,5229,2020-21
2,Lineups,-202339-203500-1627742-1628366-1629627-,E. Bledsoe - S. Adams - B. Ingram - L. Ball - Z. Williamson,1610612740,NOP,41,17,24,0.415,610.0,116.2,115.9,114.3,113.8,1.8,2.0,0.644,2.17,20.4,0.3,0.755,0.532,0.134,0.571,0.59,100.0,100.35,83.62,1279,0.528,4,18,14819,7674,3,5135,8834,6181,5607,1910,4029,4796,6367,5177,9006,5426,5993,10002,6268,2020-21
3,Lineups,-201144-202711-203497-1626220-1628378-,M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell,1610612762,UTA,41,29,12,0.707,593.0,115.2,114.2,103.3,103.4,11.9,10.8,0.557,1.7,16.6,0.276,0.736,0.524,0.133,0.558,0.592,99.5,99.89,83.24,1232,0.558,4,4,14796,5222,4,5374,7806,5488,6617,3163,6821,5185,7174,5318,8899,5656,5947,10200,5728,2020-21
4,Lineups,-203457-203493-203901-203944-1629628-,N. Noel - R. Bullock - E. Payton - J. Randle - R. Barrett,1610612752,NYK,41,25,16,0.61,554.0,108.0,109.0,111.5,113.6,-3.5,-4.6,0.55,1.65,16.8,0.246,0.734,0.489,0.137,0.543,0.57,98.7,97.35,81.13,1124,0.454,4,7,14815,5816,5,5927,8816,8045,6713,3281,6059,6138,7180,7854,9077,5932,6486,11262,7598,2020-21
5,Lineups,-201572-201950-203114-203507-1628978-,B. Lopez - J. Holiday - K. Middleton - G. Antetokounmpo - D. DiVincenzo,1610612749,MIL,45,31,14,0.689,508.0,117.0,117.7,109.8,109.0,7.2,8.7,0.605,2.07,19.9,0.23,0.806,0.526,0.132,0.598,0.619,107.8,107.9,89.92,1150,0.559,2,3,14812,5244,6,4870,8279,5666,5964,1967,4911,6273,5543,5300,8894,4906,5290,6696,5724,2020-21
6,Lineups,-202685-203937-1628415-1628960-1629630-,J. Valanciunas - K. Anderson - D. Brooks - G. Allen - J. Morant,1610612763,MEM,35,19,16,0.543,457.0,115.5,116.2,107.5,107.6,8.1,8.7,0.604,2.28,19.0,0.268,0.787,0.532,0.116,0.55,0.582,105.0,104.63,87.19,991,0.536,10,14,14815,6038,7,5118,8144,5670,5969,1831,5177,5300,6018,5176,8302,5786,6168,8087,6133,2020-21
7,Lineups,-203084-1626158-1627741-1628368-1628963-,H. Barnes - R. Holmes - B. Hield - D. Fox - M. Bagley III,1610612758,SAC,32,15,17,0.469,425.0,120.7,121.4,113.9,114.2,6.8,7.2,0.6,2.46,20.0,0.26,0.774,0.517,0.114,0.596,0.611,101.8,101.28,84.4,893,0.526,13,27,14817,7592,8,4438,8847,5798,5975,1716,4057,5372,6226,5454,8259,4921,5494,9578,6305,2020-21
8,Lineups,-203084-1626158-1627741-1628368-1630169-,H. Barnes - R. Holmes - B. Hield - D. Fox - T. Haliburton,1610612758,SAC,40,20,20,0.5,404.0,120.6,120.0,113.0,112.4,7.7,7.6,0.569,2.14,18.4,0.247,0.713,0.489,0.117,0.585,0.623,103.1,103.62,86.35,874,0.544,7,13,14818,6052,9,4487,8660,5771,6570,1939,5401,6136,7555,7852,8316,5057,5220,8551,6005,2020-21
9,Lineups,-203493-203901-203944-1629011-1629628-,R. Bullock - E. Payton - J. Randle - M. Robinson - R. Barrett,1610612752,NYK,23,12,11,0.522,395.0,104.1,104.9,103.1,103.0,1.0,1.9,0.535,1.58,16.3,0.296,0.778,0.545,0.142,0.508,0.532,96.3,95.91,79.93,791,0.509,33,46,14790,6050,10,6261,7787,6185,6799,3328,6876,4891,6211,4928,9138,6370,7455,11818,6556,2020-21
