,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Season
0,Lineups,-203920-1627783-1627832-1628384-1630201-,K. Birch - P. Siakam - F. VanVleet - O. Anunoby - M. Flynn,1610612761,TOR,1,0,1,0.0,27.8,23.3,55.7,0.418,10.1,23.3,0.435,0.0,0.0,0.0,6.1,15.2,21.3,15.2,4.1,3.0,1.0,1.0,5.1,4.1,56.7,-6.1,5843,8619,4785,8619,2,2,1,7876,2,2,4135,7633,8014,7633,15,18,11,3,14540,84,575,12416,14566,349,5,14103,2020-21
1,Lineups,-203920-1626169-1627783-1627832-1629018-,K. Birch - S. Johnson - P. Siakam - F. VanVleet - G. Trent Jr.,1610612761,TOR,1,0,1,0.0,27.8,28.4,54.7,0.519,10.1,20.3,0.5,7.1,8.1,0.875,6.1,16.2,22.3,16.2,7.1,4.1,3.0,1.0,13.2,9.1,74.0,7.1,5843,8619,4785,8619,1,1,2,4272,2,4,2381,46,68,3672,15,12,7,2,14790,15,26,12416,14818,13,1,304,2020-21
2,Lineups,-203920-1626169-1627783-1627832-1629139-,K. Birch - S. Johnson - P. Siakam - F. VanVleet - Y. Watanabe,1610612761,TOR,1,0,1,0.0,24.4,19.3,45.6,0.422,6.1,20.3,0.3,4.1,6.1,0.667,4.1,14.2,18.2,10.1,6.1,3.0,2.0,3.0,7.1,7.1,48.6,-14.2,5843,8619,4785,8619,3,14,4,7827,18,4,6247,371,215,5425,79,29,35,31,14762,84,95,14747,14767,47,19,14798,2020-21
3,Lineups,-200768-203920-1627783-1627832-1628384-,K. Lowry - K. Birch - P. Siakam - F. VanVleet - O. Anunoby,1610612761,TOR,4,2,2,0.5,23.2,21.3,43.3,0.491,8.6,23.1,0.374,6.8,8.4,0.818,4.1,16.7,20.8,16.5,4.3,3.8,2.0,2.3,7.6,7.6,58.0,10.4,1342,1417,11786,6052,4,5,7,6441,5,3,4976,76,67,4168,79,11,17,1,14681,63,95,14730,14795,41,3,89,2020-21
4,Lineups,-202322-203482-1627863-1629645-1630256-,J. Wall - K. Olynyk - D. House Jr. - K. Porter Jr. - J. Tate,1610612745,HOU,1,0,1,0.0,22.5,18.2,43.6,0.419,3.0,18.2,0.167,6.1,9.1,0.667,3.0,16.2,19.3,11.1,5.1,4.1,2.0,1.0,8.1,10.1,45.6,-1.0,5843,8619,4785,8619,5,19,5,7873,326,8,7433,81,42,5425,211,12,28,20,14709,15,95,12416,14798,5,26,8718,2020-21
5,Lineups,-1626184-1628964-1629021-1629649-1630181-,C. Randle - M. Bamba - M. Wagner - I. Brazdeikis - R. Hampton,1610612753,ORL,1,1,0,1.0,22.4,20.3,38.5,0.526,3.0,8.1,0.375,15.2,20.3,0.75,7.1,20.3,27.4,10.1,6.1,2.0,3.0,1.0,10.1,11.1,58.8,5.1,5843,2859,1,1,6,10,15,4198,326,272,4869,1,1,4604,7,2,2,31,14762,284,26,12416,14813,3,2,702,2020-21
6,Lineups,-203115-203932-203999-1627750-1629008-,W. Barton - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,1610612743,DEN,5,4,1,0.8,22.4,22.3,39.1,0.57,5.1,12.4,0.41,7.3,9.1,0.8,5.5,15.4,20.9,14.2,7.3,3.4,2.2,1.0,4.7,8.1,56.9,8.7,957,534,4785,4878,7,4,14,3598,60,67,4395,45,42,4235,34,17,16,5,14806,74,92,12416,14547,26,4,184,2020-21
7,Lineups,-1629026-1629647-1629650-1629676-1630197-,K. Williams - D. Bazley - M. Brown - I. Roby - A. Pokusevski,1610612760,OKC,1,0,1,0.0,22.1,16.2,38.5,0.421,6.1,12.2,0.5,11.1,16.2,0.688,6.1,15.2,21.3,9.1,7.1,3.0,3.0,3.0,8.1,12.2,49.6,-13.2,5843,8619,4785,8619,8,33,15,7832,18,69,2381,6,4,5397,15,18,11,60,14790,84,26,14747,14798,1,17,14790,2020-21
8,Lineups,-201143-201588-1628983-1629647-1629652-,A. Horford - G. Hill - S. Gilgeous-Alexander - D. Bazley - L. Dort,1610612760,OKC,9,5,4,0.556,22.0,18.5,40.0,0.462,6.8,18.6,0.364,6.8,8.4,0.8,2.9,17.7,20.6,10.6,5.0,2.5,1.9,1.7,6.9,8.2,50.4,1.4,350,368,14164,6010,9,17,10,6822,16,7,5011,77,66,4235,438,8,18,28,14708,246,366,14396,14764,25,16,4128,2020-21
9,Lineups,-203085-203999-1628427-1629008-1630210-,A. Rivers - N. Jokic - V. Cancar - M. Porter Jr. - M. Howard,1610612743,DEN,1,1,0,1.0,22.0,21.3,39.5,0.538,4.1,14.2,0.286,6.1,6.1,1.0,4.1,18.2,22.3,15.2,7.1,2.0,0.0,5.1,6.1,7.1,52.7,9.1,5843,2859,1,1,10,5,11,3993,122,34,6320,81,215,1,79,5,7,3,14790,284,4784,14818,14691,47,10,137,2020-21
10,Lineups,-203926-1627734-1627747-1628988-1629052-,D. McDermott - D. Sabonis - C. LeVert - A. Holiday - O. Brissett,1610612754,IND,2,1,1,0.5,21.5,18.2,37.0,0.493,4.1,9.6,0.421,7.6,8.1,0.938,3.0,12.2,15.2,12.2,7.6,4.1,2.0,1.0,6.6,7.6,48.1,-5.1,3207,2859,4785,6052,11,19,24,6432,122,173,4326,40,68,3453,211,62,62,13,14808,15,95,12416,14755,41,21,13675,2020-21
