,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,Season
0,Lineups,-101108-1626164-1628969-1629028-,C. Paul - D. Booker - M. Bridges - D. Ayton,1610612756,PHX,64,45,19,0.703,1219.0,0.585,0.204,0.123,0.254,0.544,0.227,0.136,0.227,1,1,29026,7950,1,8887,14011,14766,12269,16006,15425,12018,17139,2020-21
1,Lineups,-203493-203901-203944-1629628-,R. Bullock - E. Payton - J. Randle - R. Barrett,1610612752,NYK,56,33,23,0.589,1052.0,0.525,0.221,0.136,0.267,0.524,0.223,0.122,0.21,6,21,29062,10374,2,13025,13276,16615,11669,14662,15297,13974,15870,2020-21
2,Lineups,-203084-1626158-1627741-1628368-,H. Barnes - R. Holmes - B. Hield - D. Fox,1610612758,SAC,47,22,25,0.468,1017.0,0.575,0.267,0.115,0.244,0.553,0.242,0.124,0.225,28,93,29066,14870,3,9573,10759,13857,13999,16661,16178,13864,17071,2020-21
3,Lineups,-201980-202699-203552-1627732-,D. Green - T. Harris - S. Curry - B. Simmons,1610612755,PHI,45,32,13,0.711,930.0,0.571,0.279,0.132,0.215,0.525,0.214,0.143,0.216,36,26,28758,7914,4,9983,10149,16110,15386,14693,14530,11515,16356,2020-21
4,Lineups,-202711-203497-1626220-1628378-,B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell,1610612762,UTA,52,38,14,0.731,882.0,0.572,0.277,0.13,0.267,0.489,0.162,0.097,0.213,9,6,28839,7656,5,9720,10260,15886,11670,10715,11703,17073,16089,2020-21
5,Lineups,-202339-203500-1627742-1629627-,E. Bledsoe - S. Adams - B. Ingram - Z. Williamson,1610612740,NOP,52,25,27,0.481,870.0,0.572,0.257,0.134,0.301,0.562,0.16,0.115,0.198,9,56,29072,14826,6,9721,11101,16467,9609,17148,11624,14778,14379,2020-21
6,Lineups,-203457-203493-203944-1629628-,N. Noel - R. Bullock - J. Randle - R. Barrett,1610612752,NYK,51,31,20,0.608,864.0,0.555,0.235,0.141,0.237,0.536,0.228,0.135,0.225,13,28,29037,9854,7,11060,12418,17151,14253,15487,15494,12077,17044,2020-21
7,Lineups,-203109-1626164-1628969-1629028-,J. Crowder - D. Booker - M. Bridges - D. Ayton,1610612756,PHX,54,38,16,0.704,846.0,0.585,0.211,0.117,0.22,0.545,0.251,0.139,0.231,8,6,28944,7945,8,8864,13714,14099,15256,16024,17047,11692,17313,2020-21
8,Lineups,-101108-203109-1628969-1629028-,C. Paul - J. Crowder - M. Bridges - D. Ayton,1610612756,PHX,57,40,17,0.702,837.0,0.577,0.208,0.117,0.221,0.537,0.23,0.144,0.22,5,4,28982,7953,9,9417,13905,14108,15226,15551,15571,10626,16548,2020-21
9,Lineups,-202685-203937-1628415-1629630-,J. Valanciunas - K. Anderson - D. Brooks - J. Morant,1610612763,MEM,50,26,24,0.52,820.0,0.555,0.229,0.123,0.294,0.523,0.228,0.133,0.191,15,54,29064,11117,10,11050,12674,14800,10021,14610,15486,12473,14098,2020-21
10,Lineups,-201572-203114-203507-1628978-,B. Lopez - K. Middleton - G. Antetokounmpo - D. DiVincenzo,1610612749,MIL,58,38,20,0.655,804.0,0.59,0.24,0.12,0.232,0.56,0.128,0.123,0.17,4,6,29037,9440,11,8660,12115,14420,14481,17062,10368,13892,12882,2020-21
11,Lineups,-101108-203109-1626164-1628969-,C. Paul - J. Crowder - D. Booker - M. Bridges,1610612756,PHX,55,40,15,0.727,799.0,0.57,0.227,0.12,0.219,0.546,0.256,0.145,0.223,7,4,28894,7663,12,10006,12773,14541,15291,16150,17153,10550,16991,2020-21
12,Lineups,-202339-1627742-1628366-1629627-,E. Bledsoe - B. Ingram - L. Ball - Z. Williamson,1610612740,NOP,48,21,27,0.438,796.0,0.569,0.277,0.135,0.292,0.558,0.17,0.132,0.201,23,108,29072,15162,13,10021,10243,16497,10118,16992,12205,12544,15528,2020-21
13,Lineups,-201980-202699-203954-1627732-,D. Green - T. Harris - J. Embiid - B. Simmons,1610612755,PHI,36,30,6,0.833,792.0,0.58,0.333,0.134,0.215,0.512,0.203,0.138,0.208,91,31,26656,6453,14,9290,7513,16482,15391,14060,14105,11769,15775,2020-21
14,Lineups,-201980-202699-203552-203954-,D. Green - T. Harris - S. Curry - J. Embiid,1610612755,PHI,37,30,7,0.811,785.0,0.579,0.317,0.13,0.226,0.51,0.193,0.137,0.205,82,31,27319,6625,15,9373,8555,15897,14809,13953,13328,11883,15658,2020-21
