,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,Season
0,Lineups,-203506-1627763-,V. Oladipo - M. Brogdon,1610612754,IND,9,5,4,0.556,32.4,11.7,8.1,9.7,35.3,8.9,8.4,6.8,34.0,2883,2414,1704,1734,1201,12,34,30,2,4947,5001,4885,5018,2020-21
1,Lineups,-1627783-1627832-,P. Siakam - F. VanVleet,1610612761,TOR,47,18,29,0.383,31.6,13.0,8.1,10.3,28.8,9.8,9.4,6.8,28.0,421,830,4871,3212,30,5,32,16,48,4986,5020,4892,4981,2020-21
2,Lineups,-203944-1629628-,J. Randle - R. Barrett,1610612752,NYK,70,39,31,0.557,31.5,10.0,8.4,6.4,29.9,10.1,7.4,7.3,29.5,3,70,4926,1733,1,60,24,202,29,4993,4958,4942,5002,2020-21
3,Lineups,-1627734-1627763-,D. Sabonis - M. Brogdon,1610612754,IND,50,24,26,0.48,31.4,11.1,8.1,9.1,32.2,10.3,8.4,8.6,33.0,329,488,4766,2476,20,28,34,42,11,5003,4999,5003,5014,2020-21
4,Lineups,-1627734-1627747-,D. Sabonis - C. LeVert,1610612754,IND,25,13,12,0.52,30.9,10.5,7.3,10.0,32.7,9.8,8.9,10.0,37.9,1343,1183,3486,1985,301,38,81,22,7,4984,5012,5020,5024,2020-21
5,Lineups,-200782-201935-,P. Tucker - J. Harden,1610612745,HOU,8,2,6,0.25,30.9,12.2,4.6,6.7,32.7,11.9,8.9,10.9,31.9,3021,3361,2314,3951,1370,9,540,176,8,5018,5010,5023,5011,2020-21
6,Lineups,-1626220-1628378-,R. O'Neale - D. Mitchell,1610612762,UTA,52,38,14,0.731,30.6,8.9,9.2,7.7,27.8,10.6,7.4,8.2,32.6,281,84,3738,650,16,124,7,110,67,5011,4957,4989,5012,2020-21
7,Lineups,-201939-203110-,S. Curry - D. Green,1610612744,GSW,58,34,24,0.586,30.4,11.7,6.6,11.0,31.8,11.2,9.0,9.2,28.7,139,155,4671,1565,7,13,160,10,13,5015,5013,5013,4990,2020-21
8,Lineups,-203084-1627741-,H. Barnes - B. Hield,1610612758,SAC,57,25,32,0.439,30.1,10.0,8.4,9.4,33.9,10.4,8.7,7.9,33.3,160,435,4952,2808,9,57,25,38,3,5008,5008,4972,5016,2020-21
9,Lineups,-203468-1626181-,C. McCollum - N. Powell,1610612757,POR,27,15,12,0.556,29.7,10.1,8.0,8.2,28.0,8.4,7.3,8.2,28.7,1217,1034,3486,1734,267,47,39,78,64,4900,4950,4990,4992,2020-21
10,Lineups,-203084-1628368-,H. Barnes - D. Fox,1610612758,SAC,55,24,31,0.436,29.7,10.2,7.5,9.6,33.5,9.5,8.8,7.5,32.9,207,488,4926,2829,15,45,60,33,4,4976,5009,4956,5013,2020-21
11,Lineups,-203078-1628418-,B. Beal - T. Bryant,1610612764,WAS,9,2,7,0.222,29.5,13.7,9.0,6.9,30.2,11.5,7.0,7.5,29.5,2883,3361,2536,4122,1292,2,12,168,25,5016,4926,4957,5000,2020-21
