,GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,Season
0,Lineups,-203920-1627783-1627832-,K. Birch - P. Siakam - F. VanVleet,1610612761,TOR,7,2,5,0.286,28.3,0.534,0.466,0.463,0.059,0.417,0.133,0.12,0.173,0.404,0.6,0.4,0.803,0.197,0.676,0.324,6440,7835,12416,12521,1,13259,4706,11349,9443,4227,4999,11565,5721,9717,3973,12403,9821,5355,4604,12666,2020-21
1,Lineups,-203506-1627734-1627763-,V. Oladipo - D. Sabonis - M. Brogdon,1610612754,IND,9,5,4,0.556,27.7,0.598,0.402,0.509,0.058,0.353,0.133,0.138,0.147,0.451,0.523,0.477,0.725,0.275,0.587,0.413,5221,4256,11166,6399,2,9649,8315,8721,9569,7183,4968,9767,8024,7157,6907,9927,11978,3199,9411,7858,2020-21
2,Lineups,-1627734-1627747-1627763-,D. Sabonis - C. LeVert - M. Brogdon,1610612754,IND,15,8,7,0.533,26.9,0.565,0.435,0.475,0.068,0.368,0.142,0.158,0.137,0.407,0.516,0.484,0.83,0.17,0.623,0.377,3101,2759,14318,6754,3,11662,6303,10790,8525,6529,4282,7792,8971,9592,7121,9697,9154,6024,7459,9812,2020-21
3,Lineups,-202711-1626220-1628378-,B. Bogdanovic - R. O'Neale - D. Mitchell,1610612762,UTA,52,38,14,0.731,26.2,0.537,0.463,0.426,0.056,0.421,0.102,0.153,0.114,0.369,0.415,0.585,0.759,0.241,0.551,0.449,97,32,17251,3483,5,13169,4796,13103,9723,4081,7989,8255,11080,11883,11861,4973,11050,4128,11226,6045,2020-21
4,Lineups,-202322-203482-1626174-,J. Wall - K. Olynyk - C. Wood,1610612745,HOU,8,1,7,0.125,25.3,0.588,0.412,0.51,0.02,0.349,0.124,0.141,0.127,0.49,0.496,0.504,0.754,0.246,0.577,0.423,5790,10168,14318,14222,9,10301,7663,8630,12293,7442,5778,9559,9940,5288,9235,7599,11089,4088,9908,7327,2020-21
5,Lineups,-201142-201935-202681-,K. Durant - J. Harden - K. Irving,1610612751,BKN,8,6,2,0.75,25.3,0.618,0.382,0.523,0.113,0.322,0.18,0.154,0.111,0.41,0.634,0.366,0.709,0.291,0.656,0.344,5790,3625,6774,3005,10,8156,9809,7929,4506,8996,2411,8066,11219,9454,3361,13473,12269,2909,5898,11373,2020-21
6,Lineups,-203552-203954-1627732-,S. Curry - J. Embiid - B. Simmons,1610612755,PHI,36,30,6,0.833,25.3,0.671,0.329,0.528,0.117,0.287,0.156,0.185,0.177,0.411,0.469,0.531,0.922,0.078,0.589,0.411,576,150,13463,2488,11,4676,13289,7693,4316,10755,3409,5389,5406,9412,10017,6817,6089,9089,9281,7990,2020-21
7,Lineups,-200782-201935-1626174-,P. Tucker - J. Harden - C. Wood,1610612745,HOU,7,2,5,0.286,25.1,0.556,0.444,0.475,0.029,0.385,0.105,0.14,0.135,0.447,0.6,0.4,0.648,0.352,0.617,0.383,6440,7835,12416,12521,13,12095,5869,10778,11969,5592,7699,9614,9105,7344,3973,12403,13287,1891,7722,9549,2020-21
8,Lineups,-203084-1627741-1628368-,H. Barnes - B. Hield - D. Fox,1610612758,SAC,54,24,30,0.444,25.0,0.626,0.374,0.531,0.07,0.322,0.135,0.147,0.137,0.461,0.478,0.522,0.82,0.18,0.577,0.423,66,329,18383,9533,14,7561,10404,7537,8326,9007,4778,8785,8983,6689,9695,7139,9377,5801,9945,7326,2020-21
9,Lineups,-202699-203954-1627732-,T. Harris - J. Embiid - B. Simmons,1610612755,PHI,37,31,6,0.838,25.0,0.661,0.339,0.502,0.111,0.308,0.153,0.191,0.162,0.39,0.471,0.529,0.929,0.071,0.604,0.396,524,130,13463,2486,15,5650,12315,9018,4596,9750,3620,5008,6618,10775,9913,6921,5886,9221,8342,8928,2020-21
