,GROUP_SET,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,CFID,CFPARAMS,Season
0,Players,203932,Aaron Gordon,1610612743,DEN,25.0,19,12,7,0.632,2.9,0.0,0.2,0.0,0.4,1.3,1.0,0.8,3.0,0.2,0.0,0.2,0.2,2.2,152,93,238,88,183,225,117,150,170,371,317,399,147,25,1,185,214,201,1,"203932,1610612743",2020-21
1,Players,1628988,Aaron Holiday,1610612754,IND,24.0,12,7,5,0.583,2.3,0.2,0.0,0.2,0.8,0.3,0.7,0.4,1.7,0.0,0.1,0.2,0.2,2.2,235,193,171,112,287,147,217,78,76,97,209,256,328,180,355,138,245,199,1,"1628988,1610612754",2020-21
2,Players,1630174,Aaron Nesmith,1610612738,BOS,21.0,4,1,3,0.25,3.5,0.0,0.5,0.0,1.0,1.0,0.0,0.8,3.0,0.0,0.0,0.0,0.0,3.0,344,351,109,373,109,225,17,150,43,268,1,386,130,180,1,1,319,122,1,"1630174,1610612738",2020-21
3,Players,1627846,Abdel Nader,1610612756,PHX,27.0,3,1,2,0.333,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.3,0.3,363,351,79,330,230,225,217,150,305,1,1,1,175,180,1,1,121,400,1,"1627846,1610612756",2020-21
4,Players,201143,Al Horford,1610612760,OKC,35.0,14,7,7,0.5,4.1,0.4,0.6,0.0,0.3,1.4,1.3,0.8,3.5,0.1,0.1,0.4,0.3,4.5,205,193,238,176,40,61,11,150,212,401,402,397,86,43,335,296,152,42,1,"201143,1610612760",2020-21
5,Players,202329,Al-Farouq Aminu,1610612741,CHI,30.0,4,1,3,0.25,2.3,0.0,0.0,0.0,0.0,0.5,0.5,1.3,1.0,0.3,0.0,0.3,0.0,1.7,344,351,109,373,279,225,217,150,305,125,151,437,387,17,1,206,319,263,1,"202329,1610612741",2020-21
6,Players,202692,Alec Burks,1610612752,NYK,29.0,22,11,11,0.5,3.5,0.1,0.5,0.0,0.6,0.8,0.5,0.3,2.5,0.0,0.1,0.4,0.6,4.0,121,114,332,176,122,171,17,150,132,202,143,183,210,143,400,335,56,65,1,"202692,1610612752",2020-21
7,Players,1630197,Aleksej Pokusevski,1610612760,OKC,19.0,7,5,2,0.714,2.7,0.0,0.4,0.0,0.0,0.6,0.6,0.0,1.2,0.1,0.1,0.4,0.3,3.5,299,237,79,54,231,225,34,150,305,146,178,1,377,43,406,346,152,88,1,"1630197,1610612760",2020-21
8,Players,1627936,Alex Caruso,1610612747,LAL,27.0,19,10,9,0.526,2.4,0.3,0.2,0.1,0.3,0.6,0.1,0.2,1.9,0.0,0.1,0.2,0.3,2.4,152,137,289,170,265,76,143,111,201,152,82,161,302,180,304,134,137,184,1,"1627936,1610612747",2020-21
9,Players,203458,Alex Len,1610612764,WAS,27.0,11,4,7,0.364,3.6,0.0,0.2,0.0,0.2,0.8,0.3,0.9,3.7,0.2,0.1,0.3,0.2,2.0,246,259,238,321,102,225,128,150,252,211,102,417,72,29,362,228,238,218,1,"203458,1610612764",2020-21
