,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,Season
0,203932,Aaron Gordon,1610612743,DEN,25.0,50,27.7,3.78,2.46,1.32,1.02,0.0,0.52,1.22,0.42,0.22,0.64,0.656,0.344,0.2,0.18,0.38,0.34,0.3,0.526,0.474,0.944,0.833,2020-21
1,1628988,Aaron Holiday,1610612754,IND,24.0,66,17.8,3.09,1.29,1.8,1.47,0.0,0.03,0.06,0.17,0.23,0.39,0.423,0.577,0.02,0.41,0.42,0.33,0.02,0.036,0.964,0.88,0.04,2020-21
2,1630174,Aaron Nesmith,1610612738,BOS,21.0,46,14.5,2.87,1.83,1.04,0.52,0.02,0.13,0.3,0.33,0.24,0.57,0.577,0.423,0.07,0.39,0.46,0.43,0.26,0.143,0.857,1.0,0.6,2020-21
3,1627846,Abdel Nader,1610612756,PHX,27.0,24,14.8,3.17,1.92,1.25,0.75,0.0,0.04,0.08,0.17,0.21,0.38,0.444,0.556,0.04,0.46,0.5,0.42,0.17,0.083,0.917,1.0,0.4,2020-21
4,1629690,Adam Mokoka,1610612741,CHI,22.0,14,4.0,0.29,0.21,0.07,0.29,0.0,0.0,0.0,0.07,0.0,0.07,1.0,0.0,0.0,0.21,0.21,0.14,0.0,0.0,1.0,1.0,0.0,2020-21
5,201143,Al Horford,1610612760,OKC,35.0,28,27.9,8.82,6.93,1.89,1.18,0.0,2.21,5.0,0.29,0.29,0.57,0.5,0.5,0.11,2.18,2.29,2.0,1.04,0.047,0.953,0.966,0.5,2020-21
6,202329,Al-Farouq Aminu,1610612741,CHI,30.0,23,18.9,4.0,1.87,2.13,1.43,0.0,0.74,1.74,0.26,0.35,0.61,0.429,0.571,0.04,0.48,0.52,0.52,0.43,0.083,0.917,1.0,0.833,2020-21
7,202692,Alec Burks,1610612752,NYK,29.0,49,25.6,4.84,2.27,2.57,1.43,0.0,0.06,0.12,0.31,0.31,0.61,0.5,0.5,0.02,0.1,0.12,0.1,0.04,0.167,0.833,1.0,0.4,2020-21
8,1630197,Aleksej Pokusevski,1610612760,OKC,19.0,45,24.2,6.69,3.8,2.89,0.8,0.0,0.51,1.27,0.11,0.11,0.22,0.5,0.5,0.0,0.24,0.24,0.2,0.07,0.0,1.0,0.9,0.3,2020-21
9,1629346,Alen Smailagic,1610612744,GSW,20.0,15,5.6,2.07,1.67,0.4,0.47,0.0,0.73,1.93,0.0,0.07,0.07,0.0,1.0,0.13,0.4,0.53,0.47,0.27,0.25,0.75,1.0,0.571,2020-21
10,1627936,Alex Caruso,1610612747,LAL,27.0,58,21.0,3.14,1.47,1.67,2.22,0.26,0.29,0.71,0.24,0.41,0.66,0.368,0.632,0.02,0.52,0.53,0.33,0.07,0.032,0.968,0.826,0.174,2020-21
11,203458,Alex Len,1610612764,WAS,27.0,64,15.3,7.17,6.23,0.94,0.91,0.0,2.05,4.73,0.17,0.11,0.28,0.611,0.389,0.33,1.33,1.66,1.39,0.67,0.198,0.802,0.967,0.467,2020-21
12,1628035,Alfonzo McKinnie,1610612747,LAL,28.0,39,6.6,1.13,0.51,0.62,0.23,0.1,0.08,0.18,0.1,0.03,0.13,0.8,0.2,0.08,0.13,0.21,0.18,0.13,0.375,0.625,1.0,0.714,2020-21
13,1628993,Alize Johnson,1610612751,BKN,25.0,18,10.5,2.17,1.17,1.0,0.17,0.06,0.11,0.28,0.5,0.39,0.89,0.563,0.438,0.56,0.28,0.83,0.78,0.44,0.667,0.333,0.933,0.533,2020-21
14,1628578,Amida Brimah,1610612754,IND,27.0,5,5.9,2.8,2.6,0.2,0.0,0.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.2,0.5,0.5,1.0,1.0,2020-21
