,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,CFID,CFPARAMS,Season
0,203932,Aaron Gordon,1610612743,DEN,25.0,50,29,21,0.58,28.0,1.7,1.9,1.3,6.0,9.4,6.9,7.6,27.2,0.7,0.6,1.8,2.8,26.4,238,158,258,167,135,166,79,162,118,393,371,430,152,103,417,313,79,115,5,"203932,1610612743",2020-21
1,1628988,Aaron Holiday,1610612754,IND,24.0,66,30,36,0.455,18.1,1.2,0.5,1.4,2.6,5.9,6.2,5.2,19.7,0.2,0.5,1.4,1.1,13.5,70,143,490,318,310,267,405,146,303,214,329,283,265,349,374,206,283,338,5,"1628988,1610612754",2020-21
2,1630174,Aaron Nesmith,1610612738,BOS,21.0,46,22,24,0.478,14.7,0.7,0.7,0.4,1.5,5.6,3.7,3.5,13.7,0.2,0.3,1.9,0.6,10.0,268,252,309,286,376,392,329,390,410,194,147,150,389,352,202,342,411,399,5,"1630174,1610612738",2020-21
3,1627846,Abdel Nader,1610612756,PHX,27.0,24,16,8,0.667,15.0,0.9,1.1,0.8,3.3,5.6,3.1,4.1,14.9,0.4,0.3,1.4,1.5,12.7,417,331,76,79,370,336,210,266,252,188,125,184,370,217,231,198,216,348,5,"1627846,1610612756",2020-21
4,1629690,Adam Mokoka,1610612741,CHI,22.0,14,3,11,0.214,4.1,0.4,0.1,0.4,0.9,2.4,0.6,0.7,3.8,0.1,0.1,0.4,0.1,2.4,463,482,111,506,517,471,495,379,466,57,10,8,518,461,59,23,524,525,5,"1629690,1610612741",2020-21
5,201143,Al Horford,1610612760,OKC,35.0,28,11,17,0.393,28.3,1.8,1.2,0.4,5.9,9.2,6.8,7.0,27.3,0.9,0.4,1.7,1.2,32.2,397,398,182,393,131,136,196,406,119,381,367,388,150,62,287,299,265,72,5,"201143,1610612760",2020-21
6,202329,Al-Farouq Aminu,1610612741,CHI,30.0,23,5,18,0.217,19.1,0.4,0.8,0.5,2.1,5.3,4.0,5.0,15.9,0.4,0.2,1.3,1.1,14.8,420,465,196,503,293,451,285,360,340,170,172,266,351,203,160,172,280,312,5,"202329,1610612741",2020-21
7,202692,Alec Burks,1610612752,NYK,29.0,49,27,22,0.551,25.9,1.7,1.0,0.6,3.1,7.8,6.4,4.8,22.3,0.3,0.6,2.1,1.9,23.6,250,189,274,201,170,148,238,310,272,322,341,239,224,270,438,392,147,151,5,"202692,1610612752",2020-21
8,1630197,Aleksej Pokusevski,1610612760,OKC,19.0,45,13,32,0.289,24.5,0.9,0.5,0.6,2.6,11.7,6.9,6.1,26.5,0.9,0.2,1.3,0.8,19.2,279,371,437,470,188,321,383,314,302,505,369,332,165,60,163,174,373,220,5,"1630197,1610612760",2020-21
9,1629346,Alen Smailagic,1610612744,GSW,20.0,15,10,5,0.667,5.7,0.1,0.4,0.0,0.9,3.9,2.5,2.2,7.3,0.3,0.1,0.7,0.3,4.9,458,411,50,79,497,496,427,498,456,114,88,87,471,238,86,69,500,489,5,"1629346,1610612744",2020-21
