,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,Season
0,203932,Aaron Gordon,1610612743,DEN,50,29,21,27.7,32.9,34.0,3.2,0.3,0.6,5.7,8.1,4.0,0.098,0.123,2020-21
1,1628988,Aaron Holiday,1610612754,IND,66,30,36,17.8,15.5,20.5,1.9,0.3,0.3,3.3,5.0,2.4,0.121,0.158,2020-21
2,1630174,Aaron Nesmith,1610612738,BOS,46,22,24,14.5,11.7,9.0,0.5,0.0,0.1,1.0,1.2,0.6,0.043,0.052,2020-21
3,1627846,Abdel Nader,1610612756,PHX,24,16,8,14.8,9.4,11.3,0.8,0.1,0.0,1.1,2.1,0.9,0.084,0.097,2020-21
4,1629690,Adam Mokoka,1610612741,CHI,14,3,11,4.0,2.4,3.1,0.4,0.0,0.1,0.6,0.9,0.4,0.152,0.182,2020-21
5,201143,Al Horford,1610612760,OKC,28,11,17,27.9,38.5,39.7,3.4,0.3,0.1,5.2,8.6,3.8,0.087,0.097,2020-21
6,202329,Al-Farouq Aminu,1610612741,CHI,23,5,18,18.9,23.8,13.8,1.3,0.1,0.2,3.0,3.5,1.7,0.057,0.071,2020-21
7,202692,Alec Burks,1610612752,NYK,49,27,22,25.6,25.3,28.6,2.2,0.2,0.3,3.3,5.6,2.6,0.086,0.103,2020-21
8,1630197,Aleksej Pokusevski,1610612760,OKC,45,13,32,24.2,29.1,26.2,2.2,0.2,0.4,3.9,5.6,2.7,0.074,0.094,2020-21
9,1629346,Alen Smailagic,1610612744,GSW,15,10,5,5.6,6.9,4.5,0.3,0.0,0.0,0.7,0.6,0.3,0.039,0.039,2020-21
10,1627936,Alex Caruso,1610612747,LAL,58,32,26,21.0,35.2,32.1,2.8,0.4,0.4,5.5,7.2,3.5,0.078,0.099,2020-21
11,203458,Alex Len,1610612764,WAS,64,30,34,15.3,15.8,11.8,0.8,0.1,0.1,1.4,2.2,1.0,0.049,0.061,2020-21
12,1628035,Alfonzo McKinnie,1610612747,LAL,39,22,17,6.6,5.3,4.7,0.2,0.0,0.1,0.2,0.4,0.2,0.029,0.039,2020-21
13,1628993,Alize Johnson,1610612751,BKN,18,10,8,10.5,10.8,7.3,0.8,0.1,0.0,1.3,2.1,0.8,0.072,0.077,2020-21
14,1628578,Amida Brimah,1610612754,IND,5,2,3,5.9,6.2,4.8,0.2,0.0,0.0,0.4,0.4,0.2,0.032,0.032,2020-21
15,1629599,Amir Coffey,1610612746,LAC,44,32,12,9.0,7.3,8.0,0.5,0.1,0.0,1.2,1.4,0.6,0.069,0.087,2020-21
16,2760,Anderson Varejao,1610612739,CLE,5,1,4,7.2,11.8,7.0,0.6,0.0,0.2,1.2,1.6,0.8,0.051,0.068,2020-21
17,203083,Andre Drummond,1610612747,LAL,46,19,27,27.0,34.8,28.1,2.0,0.1,0.3,3.4,4.9,2.5,0.059,0.071,2020-21
18,2738,Andre Iguodala,1610612748,MIA,63,37,26,21.3,29.3,21.8,2.3,0.4,0.1,4.7,6.3,2.8,0.077,0.096,2020-21
19,203460,Andre Roberson,1610612751,BKN,5,4,1,12.6,13.2,6.6,0.8,0.0,0.0,1.2,1.8,0.8,0.061,0.061,2020-21
20,203952,Andrew Wiggins,1610612744,GSW,71,38,33,33.3,28.5,36.4,2.4,0.1,0.6,4.8,6.2,3.0,0.083,0.104,2020-21
21,1629014,Anfernee Simons,1610612757,POR,64,37,27,17.3,20.3,21.1,1.4,0.1,0.1,2.8,3.8,1.6,0.069,0.077,2020-21
22,203076,Anthony Davis,1610612747,LAL,36,23,13,32.3,38.3,41.9,3.1,0.2,0.5,5.5,7.9,3.8,0.08,0.1,2020-21
23,1630162,Anthony Edwards,1610612750,MIN,72,23,49,32.1,32.0,40.4,2.9,0.3,0.4,6.3,8.0,3.7,0.092,0.117,2020-21
24,1630264,Anthony Gill,1610612764,WAS,26,11,15,8.4,8.3,6.0,0.4,0.1,0.1,0.7,1.1,0.6,0.051,0.074,2020-21
25,1630237,Anthony Lamb,1610612745,HOU,24,3,21,17.3,19.2,15.6,1.0,0.2,0.4,3.0,2.8,1.5,0.05,0.08,2020-21
26,201229,Anthony Tolliver,1610612755,PHI,11,7,4,9.0,6.5,5.8,0.2,0.1,0.2,0.5,0.5,0.5,0.028,0.07,2020-21
