,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,Season
0,203932,Aaron Gordon,1610612743,DEN,50,29,21,27.68,27.68,10476.56,1.98,1.1,0.89,4.06,4.4,3.71,2020-21
1,1628988,Aaron Holiday,1610612754,IND,66,30,36,17.82,17.82,7271.26,1.38,0.71,0.66,4.32,4.7,3.98,2020-21
2,1630174,Aaron Nesmith,1610612738,BOS,46,22,24,14.54,14.54,5977.74,1.13,0.59,0.54,4.34,4.53,4.15,2020-21
3,1627846,Abdel Nader,1610612756,PHX,24,16,8,14.8,14.8,6038.04,1.14,0.62,0.53,4.41,4.75,4.1,2020-21
4,1629690,Adam Mokoka,1610612741,CHI,14,3,11,4.01,4.01,1597.64,0.3,0.15,0.15,4.13,4.48,3.99,2020-21
5,201143,Al Horford,1610612760,OKC,28,11,17,27.92,27.92,10105.0,1.91,1.06,0.85,3.89,4.2,3.57,2020-21
6,202329,Al-Farouq Aminu,1610612741,CHI,23,5,18,18.88,18.88,7510.74,1.42,0.79,0.64,4.34,4.76,3.91,2020-21
7,202692,Alec Burks,1610612752,NYK,49,27,22,25.6,25.6,9750.9,1.85,0.98,0.87,4.09,4.23,3.95,2020-21
8,1630197,Aleksej Pokusevski,1610612760,OKC,45,13,32,24.22,24.22,9638.78,1.83,1.01,0.81,4.36,4.87,3.86,2020-21
9,1629346,Alen Smailagic,1610612744,GSW,15,10,5,5.59,5.59,2271.2,0.43,0.23,0.2,4.32,4.38,4.12,2020-21
10,1627936,Alex Caruso,1610612747,LAL,58,32,26,20.97,20.97,8550.0,1.62,0.86,0.76,4.29,4.51,4.08,2020-21
11,203458,Alex Len,1610612764,WAS,64,30,34,15.29,15.29,6114.83,1.16,0.61,0.55,4.31,4.71,3.94,2020-21
12,1628035,Alfonzo McKinnie,1610612747,LAL,39,22,17,6.62,6.62,2735.82,0.52,0.27,0.25,4.45,4.51,4.39,2020-21
13,1628993,Alize Johnson,1610612751,BKN,18,10,8,10.48,10.48,4488.28,0.85,0.46,0.39,4.57,4.9,4.24,2020-21
14,1628578,Amida Brimah,1610612754,IND,5,2,3,5.86,5.86,2436.4,0.46,0.24,0.22,4.35,5.09,3.76,2020-21
15,1629599,Amir Coffey,1610612746,LAC,44,32,12,8.97,8.97,3418.89,0.65,0.35,0.3,4.01,4.13,3.88,2020-21
16,2760,Anderson Varejao,1610612739,CLE,5,1,4,7.19,7.19,2900.0,0.55,0.3,0.25,4.19,4.44,4.23,2020-21
17,203083,Andre Drummond,1610612747,LAL,46,19,27,26.99,26.99,9821.78,1.86,0.96,0.9,3.89,3.98,3.79,2020-21
18,2738,Andre Iguodala,1610612748,MIA,63,37,26,21.25,21.25,8312.4,1.57,0.83,0.74,4.13,4.41,3.85,2020-21
19,203460,Andre Roberson,1610612751,BKN,5,4,1,12.59,12.59,5244.2,0.99,0.52,0.47,4.53,4.89,4.19,2020-21
20,203952,Andrew Wiggins,1610612744,GSW,71,38,33,33.3,33.3,12883.86,2.44,1.28,1.16,4.17,4.56,3.81,2020-21
21,1629014,Anfernee Simons,1610612757,POR,64,37,27,17.26,17.26,6958.38,1.32,0.72,0.59,4.33,4.57,4.08,2020-21
22,203076,Anthony Davis,1610612747,LAL,36,23,13,32.27,32.27,11145.11,2.11,1.08,1.03,3.67,3.75,3.61,2020-21
23,1630162,Anthony Edwards,1610612750,MIN,72,23,49,32.14,32.14,12179.39,2.31,1.25,1.05,4.04,4.37,3.7,2020-21
24,1630264,Anthony Gill,1610612764,WAS,26,11,15,8.38,8.38,3430.65,0.65,0.35,0.3,4.39,4.94,3.88,2020-21
25,1630237,Anthony Lamb,1610612745,HOU,24,3,21,17.3,17.3,7096.71,1.34,0.73,0.61,4.39,4.79,3.99,2020-21
26,201229,Anthony Tolliver,1610612755,PHI,11,7,4,9.0,9.0,3553.82,0.67,0.36,0.31,4.14,4.51,3.77,2020-21
27,1628394,Anzejs Pasecniks,1610612764,WAS,1,1,0,6.32,6.32,2586.0,0.49,0.31,0.18,4.44,4.3,4.68,2020-21
28,1629717,Armoni Brooks,1610612745,HOU,20,3,17,26.02,26.02,10223.9,1.94,1.06,0.88,4.2,4.64,3.76,2020-21
