,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
0,K. Singler | A. Tolliver,DET,2014-15,20,131.5,274,269,99.1,+7.0,-3.8,+.101,+8.6,+14.6,+.114,+.153,+8.1,+10.6,+.001,+30.7,"('singlky01', 'tollian01')"
1,E. Brand | K. Korver,ATL,2014-15,23,137.6,273,271,94.9,+12.2,+5.6,+.109,+5.8,+0.9,+.204,+.138,-2.3,-1.3,-.059,+27.9,"('brandel01', 'korveky01')"
2,K. Korver | T. Sefolosha,ATL,2014-15,47,432.8,847,837,93.4,+11.4,+3.8,+.111,+2.5,-0.9,+.103,+.122,+0.9,-1.2,+.085,+26.2,"('korveky01', 'sefolth01')"
3,K. Korver | M. Muscala,ATL,2014-15,13,143.6,277,278,92.7,+12.8,+6.1,+.111,+0.4,-3.9,+.061,+.110,0.0,-1.7,+.082,+26.0,"('korveky01', 'muscami01')"
4,C. Jefferson | D. Williams,BRK,2014-15,29,153.2,293,311,94.6,+12.2,+1.8,+.132,+5.4,-2.7,+.300,+.163,-4.0,-5.2,-.005,+25.8,"('jeffeco01', 'willide01')"
5,R. Hood | E. Millsap,UTA,2014-15,24,139.3,265,264,91.2,+10.8,+4.6,+.105,+5.3,+1.8,+.202,+.134,-3.9,-5.4,-.003,+23.1,"('hoodro01', 'millsel01')"
6,T. Allen | T. Prince,MEM,2014-15,19,171.7,315,339,91.4,+6.1,+3.3,+.054,+0.2,-10.2,+.224,+.054,+9.8,+10.0,+.077,+22.3,"('allento01', 'princta01')"
7,W. Barton | W. Matthews,POR,2014-15,14,96.2,184,185,92.0,+6.7,+1.0,+.071,+2.2,+7.2,-.014,+.083,+6.6,+13.7,-.129,+22.2,"('bartowi01', 'matthwe02')"
8,J. Jerebko | K. Olynyk,BOS,2014-15,24,222.4,436,433,93.8,+8.5,+14.1,+.030,+6.9,+17.7,+.087,+.062,-2.0,-6.4,+.129,+21.9,"('jerebjo01', 'olynyke01')"
9,L. Datome | P. Pressey,BOS,2014-15,14,98.5,188,188,91.6,+10.1,+8.0,+.074,+5.3,+14.9,+.001,+.098,-3.7,-9.0,+.116,+21.8,"('datomlu01', 'pressph01')"
10,L. Aldridge | D. Wright,POR,2014-15,32,180.4,365,351,95.3,+7.6,+10.1,+.033,+7.5,+16.9,+.078,+.069,-1.1,-2.4,+.036,+21.6,"('aldrila01', 'wrighdo01')"
11,C. Jefferson | J. Johnson,BRK,2014-15,30,155.4,292,303,91.9,+11.2,+11.4,+.068,+3.7,+1.8,+.133,+.083,-5.4,-6.8,-.010,+20.8,"('jeffeco01', 'johnsjo02')"
12,J. Evans | R. Hood,UTA,2014-15,20,98.7,175,177,85.6,+5.0,-3.0,+.069,+8.1,+4.8,+.245,+.115,+2.5,+4.3,-.022,+20.5,"('evansje01', 'hoodro01')"
13,A. Afflalo | C. McCollum,POR,2014-15,18,118.2,239,232,95.6,+7.7,+1.2,+.079,+7.4,+14.2,+.062,+.119,-2.2,-7.4,+.167,+20.5,"('afflaar01', 'mccolcj01')"
14,K. Koufos | Z. Randolph,MEM,2014-15,60,345.0,665,665,92.5,+8.1,+5.1,+.067,-0.6,-5.6,+.057,+.061,+4.2,+5.3,+.012,+19.8,"('koufoko01', 'randoza01')"
15,K. Leonard | T. Splitter,SAS,2014-15,36,517.8,1016,1024,94.6,+7.9,+2.5,+.074,+2.3,+2.6,+.072,+.086,+1.5,+1.4,+.017,+19.6,"('leonaka01', 'splitti01')"
16,J. Jerebko | I. Thomas,BOS,2014-15,20,232.8,466,459,95.4,+4.8,+8.8,+.012,+8.5,+16.2,+.106,+.053,+1.4,-0.2,+.057,+19.5,"('jerebjo01', 'thomais02')"
17,A. Horford | M. Muscala,ATL,2014-15,12,144.2,281,287,94.5,+8.9,+3.0,+.084,+1.3,-2.9,+.081,+.089,+0.2,-0.7,+.054,+19.4,"('horfoal01', 'muscami01')"
18,D. Howard | T. Jones,HOU,2014-15,10,178.1,348,348,93.8,+2.3,-13.2,+.098,+7.5,+6.0,+.238,+.149,+7.2,+7.8,+.062,+19.3,"('howardw01', 'joneste01')"
19,L. James | I. Shumpert,CLE,2014-15,34,444.7,847,846,91.4,+3.9,-4.0,+.065,+7.7,+10.6,+.132,+.112,+3.6,+5.3,-.011,+19.0,"('jamesle01', 'shumpim01')"
22,T. Sefolosha | J. Teague,ATL,2014-15,44,377.1,738,757,95.2,+5.0,-1.0,+.063,+0.2,+1.1,-.005,+.065,+8.7,+7.7,+.136,+19.0,"('sefolth01', 'teaguje01')"
23,S. Curry | S. Livingston,GSW,2014-15,49,287.4,599,586,99.0,+6.9,-1.9,+.091,+5.0,+4.7,+.129,+.121,+0.1,-0.4,+.015,+18.9,"('curryst01', 'livinsh01')"
24,A. Bogut | A. Iguodala,GSW,2014-15,62,511.1,1018,1021,95.7,+8.8,+5.7,+.074,+6.0,+7.8,+.119,+.104,-5.0,-6.9,+.026,+18.7,"('bogutan01', 'iguodan01')"
25,A. Bogut | S. Curry,GSW,2014-15,66,1394.9,2871,2861,98.6,+8.1,+2.8,+.077,+7.1,+13.0,+.078,+.115,-4.7,-5.7,-.006,+18.6,"('bogutan01', 'curryst01')"
26,H. Barnes | D. Green,GSW,2014-15,79,1515.5,3153,3163,100.0,+7.4,+1.1,+.078,+6.3,+10.4,+.091,+.113,-2.7,-3.1,-.013,+18.5,"('barneha02', 'greendr01')"
27,S. Curry | A. Iguodala,GSW,2014-15,76,1096.8,2309,2312,101.1,+7.0,+4.0,+.060,+5.3,+9.3,+.074,+.088,-1.0,-1.1,-.006,+18.4,"('curryst01', 'iguodan01')"
28,D. Green | K. Thompson,GSW,2014-15,74,1961.8,4064,4068,99.5,+7.2,+1.9,+.072,+6.2,+10.7,+.085,+.106,-2.3,-3.9,+.034,+18.4,"('greendr01', 'thompkl01')"
29,A. Bogut | D. Green,GSW,2014-15,64,1266.6,2593,2593,98.3,+7.6,+2.9,+.072,+7.0,+13.6,+.062,+.109,-4.1,-5.3,+.008,+18.2,"('bogutan01', 'greendr01')"
30,N. Calathes | Z. Randolph,MEM,2014-15,42,254.7,480,485,90.9,+7.8,+5.1,+.065,-3.5,-11.8,+.020,+.043,+6.0,+7.7,+.022,+18.2,"('calatni01', 'randoza01')"
31,D. Green | J. Holiday,GSW,2014-15,41,192.3,395,401,99.4,+7.9,-4.4,+.111,+5.2,+8.5,+.080,+.143,-2.7,-3.1,-.019,+18.2,"('greendr01', 'holidju01')"
32,T. Mozgov | I. Shumpert,CLE,2014-15,37,304.3,594,595,93.8,+6.1,-0.9,+.073,+5.1,+7.3,+.092,+.103,+0.7,+2.7,-.062,+18.0,"('mozgoti01', 'shumpim01')"
33,J. Nelson | B. Wright,DAL,2014-15,25,169.8,339,337,95.5,+6.3,-4.0,+.097,+0.5,-0.8,+.029,+.104,+4.9,+2.2,+.123,+18.0,"('nelsoja01', 'wrighbr03')"
34,S. Curry | K. Thompson,GSW,2014-15,76,1994.3,4176,4162,100.3,+7.0,+2.0,+.069,+6.3,+11.1,+.081,+.104,-2.6,-3.6,+.010,+17.8,"('curryst01', 'thompkl01')"
