Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,2,76,2387,1935,523,241,.605,.341,.683,31.4,25.5,6.9,3.2,9.5,.190,4.5,3.9
2,2,MEM,Ja Morant,Murray State,2,114,3572,2070,428,830,.463,.305,.759,31.3,18.2,3.8,7.3,6.0,.081,-0.3,1.5
3,3,NYK,RJ Barrett,Duke,2,114,3682,1809,610,314,.427,.353,.672,32.3,15.9,5.4,2.8,2.7,.035,-2.8,-0.8
4,4,LAL,De'Andre Hunter,Virginia,2,83,2643,1098,388,154,.433,.355,.799,31.8,13.2,4.7,1.9,1.9,.034,-3.2,-0.8
5,5,CLE,Darius Garland,Vanderbilt,2,105,3366,1513,223,508,.423,.375,.860,32.1,14.4,2.1,4.8,-0.2,-.003,-3.9,-1.7
6,6,PHO,Jarrett Culver,Texas Tech,2,97,2005,760,316,134,.406,.288,.503,20.7,7.8,3.3,1.4,-0.2,-.006,-4.6,-1.3
7,7,CHI,Coby White,UNC,2,118,3298,1618,452,413,.400,.347,.843,27.9,13.7,3.8,3.5,2.0,.030,-3.3,-1.1
8,8,ATL,Jaxson Hayes,Texas,2,109,1746,755,432,81,.666,.400,.680,16.0,6.9,4.0,0.7,6.0,.166,-0.4,0.7
9,9,WAS,Rui Hachimura,Gonzaga,2,95,2936,1283,561,158,.466,.304,.794,30.9,13.5,5.9,1.7,3.2,.052,-3.5,-1.1
10,10,ATL,Cam Reddish,Duke,2,84,2301,902,320,122,.378,.309,.808,27.4,10.7,3.8,1.5,0.0,.000,-4.0,-1.2
11,11,MIN,Cameron Johnson,UNC,2,107,2420,992,350,142,.438,.387,.837,22.6,9.3,3.3,1.3,5.3,.106,0.5,1.5
12,12,CHO,P.J. Washington,Kentucky,2,107,3206,1289,631,253,.443,.374,.710,30.0,12.0,5.9,2.4,3.8,.057,-1.6,0.4
13,13,MIA,Tyler Herro,Kentucky,2,101,2938,1424,449,279,.425,.362,.841,29.1,14.1,4.4,2.8,2.6,.042,-1.9,0.0
14,14,BOS,Romeo Langford,Indiana,2,40,475,99,58,18,.343,.235,.750,11.9,2.5,1.5,0.5,0.2,.025,-4.7,-0.3
15,15,DET,Sekou Doumbouya,,2,84,1366,429,215,48,.370,.265,.705,16.3,5.1,2.6,0.6,-0.8,-.027,-7.4,-1.9
16,16,ORL,Chuma Okeke,Auburn,1,40,983,291,160,89,.421,.353,.743,24.6,7.3,4.0,2.2,1.3,.064,-1.3,0.2
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,2,88,1442,687,210,170,.398,.347,.719,16.4,7.8,2.4,1.9,0.4,.012,-2.9,-0.3
18,18,IND,Goga Bitadze,,2,90,867,354,216,49,.470,.240,.736,9.6,3.9,2.4,0.5,1.9,.103,-1.3,0.2
19,19,SAS,Luka Šamanić,,2,26,270,100,59,18,.411,.273,.560,10.4,3.8,2.3,0.7,0.0,.004,-5.7,-0.3
20,20,BOS,Matisse Thybulle,Washington,2,118,2316,502,207,126,.418,.336,.579,19.6,4.3,1.8,1.1,4.6,.095,0.8,1.6
21,21,OKC,Brandon Clarke,Gonzaga,2,103,2442,1205,596,156,.572,.331,.717,23.7,11.7,5.8,1.5,8.3,.163,2.2,2.6
