,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
0,K. Korver | M. Scott | T. Sefolosha,ATL,2014-15,33,149.7,291,291,93.3,+16.5,+2.7,+.175,+5.5,-2.7,+.213,+.205,-1.4,-3.1,+.046,+37.1,"('korveky01', 'scottmi01', 'sefolth01')"
1,N. Calathes | K. Koufos | Z. Randolph,MEM,2014-15,32,114.8,218,221,91.8,+13.7,+5.8,+.129,+0.1,-10.7,+.179,+.127,+5.2,+6.7,+.026,+32.7,"('calatni01', 'koufoko01', 'randoza01')"
2,T. Mozgov | I. Shumpert | T. Thompson,CLE,2014-15,24,126.4,240,244,91.9,+8.9,+2.7,+.085,+8.0,+10.0,+.156,+.127,+6.4,+7.8,+.028,+32.4,"('mozgoti01', 'shumpim01', 'thomptr01')"
3,L. Aldridge | S. Blake | D. Wright,POR,2014-15,27,99.3,197,188,93.0,+8.5,+10.1,+.043,+8.5,+17.0,+.139,+.083,+6.0,+6.3,+.064,+31.4,"('aldrila01', 'blakest01', 'wrighdo01')"
4,S. Blake | J. Freeland | D. Lillard,POR,2014-15,25,104.5,194,198,90.1,+13.6,+10.1,+.096,+9.8,+11.7,+.268,+.143,-5.8,-7.7,+.014,+31.3,"('blakest01', 'freeljo01', 'lillada01')"
5,D. Arthur | T. Lawson | J. Nurkić,DEN,2014-15,22,101.4,220,213,102.5,+11.3,+10.5,+.079,+3.9,+2.4,+.122,+.096,+4.5,+7.5,-.060,+31.0,"('arthuda01', 'lawsoty01', 'nurkiju01')"
6,J. Crowder | J. Jerebko | I. Thomas,BOS,2014-15,19,153.1,310,314,97.8,+9.1,+9.4,+.058,+11.0,+16.1,+.178,+.115,+1.3,0.0,+.044,+30.6,"('crowdja01', 'jerebjo01', 'thomais02')"
7,T. Booker | D. Favors | R. Hood,UTA,2014-15,39,157.7,290,300,89.8,+12.4,+4.5,+.125,+0.9,-1.6,+.067,+.128,+4.8,+5.8,+.025,+30.5,"('booketr01', 'favorde01', 'hoodro01')"
8,M. Chalmers | L. Deng | J. Ennis,MIA,2014-15,22,112.6,221,216,93.1,+16.4,+10.3,+.130,+2.1,+3.6,+.038,+.137,-4.6,-6.6,+.004,+30.4,"('chalmma01', 'denglu01', 'ennisja01')"
9,A. Horford | K. Korver | M. Muscala,ATL,2014-15,10,112.3,216,220,93.2,+14.5,+8.1,+.118,+0.2,-2.7,+.041,+.114,+0.6,-0.7,+.079,+29.9,"('horfoal01', 'korveky01', 'muscami01')"
10,M. Dellavedova | T. Mozgov | I. Shumpert,CLE,2014-15,31,133.3,248,249,89.5,+9.4,+3.2,+.087,+8.1,+10.6,+.171,+.129,+1.7,+3.3,-.036,+28.6,"('dellama01', 'mozgoti01', 'shumpim01')"
11,K. Korver | T. Sefolosha | J. Teague,ATL,2014-15,33,209.6,411,407,93.7,+10.1,+1.8,+.103,+2.1,+1.9,+.053,+.114,+6.2,+3.7,+.166,+28.5,"('korveky01', 'sefolth01', 'teaguje01')"
12,H. Barnes | D. Green | A. Iguodala,GSW,2014-15,47,192.5,407,414,102.4,+11.6,+0.2,+.137,+5.3,+2.0,+.152,+.169,-0.1,+2.5,-.059,+28.4,"('barneha02', 'greendr01', 'iguodan01')"
13,M. Conley | Q. Pondexter | Z. Randolph,MEM,2014-15,15,114.0,223,215,92.2,+9.5,0.0,+.110,-0.3,-8.5,+.157,+.109,+8.9,+5.5,+.188,+27.7,"('conlemi01', 'pondequ01', 'randoza01')"
14,M. Ginóbili | K. Leonard | T. Splitter,SAS,2014-15,26,97.8,199,198,97.5,+9.4,+7.6,+.070,+5.0,+10.5,+.066,+.096,+3.9,+4.4,+.014,+27.7,"('ginobma01', 'leonaka01', 'splitti01')"
15,A. Aminu | J. Barea | C. Parsons,DAL,2014-15,30,124.0,234,243,92.4,+11.2,+13.9,+.055,+2.5,+7.4,-.011,+.059,+2.7,+2.9,+.025,+27.6,"('aminual01', 'bareajo01', 'parsoch01')"
16,S. Curry | A. Iguodala | S. Livingston,GSW,2014-15,32,161.8,334,331,98.6,+10.2,+3.5,+.105,+7.7,+9.7,+.178,+.149,-0.8,-1.7,+.020,+27.4,"('curryst01', 'iguodan01', 'livinsh01')"
17,S. Blake | D. Lillard | D. Wright,POR,2014-15,27,97.4,188,185,91.9,+5.2,+2.8,+.043,+7.4,+21.0,+.009,+.081,+9.4,+2.9,+.318,+27.2,"('blakest01', 'lillada01', 'wrighdo01')"
18,J. Jerebko | K. Olynyk | P. Pressey,BOS,2014-15,13,99.1,195,195,94.5,+8.7,+10.8,+.049,+8.7,+19.5,+.158,+.092,+1.0,-4.6,+.207,+27.2,"('jerebjo01', 'olynyke01', 'pressph01')"
19,B. Diaw | K. Leonard | T. Splitter,SAS,2014-15,30,103.3,199,200,92.7,+11.2,+12.0,+.063,+9.1,+17.7,+.107,+.107,-4.9,-5.9,+.008,+26.6,"('diawbo01', 'leonaka01', 'splitti01')"
22,J. Jerebko | K. Olynyk | M. Smart,BOS,2014-15,18,116.1,224,224,92.6,+11.2,+14.3,+.058,+6.3,+17.9,+.073,+.086,-2.2,-6.7,+.134,+26.3,"('jerebjo01', 'olynyke01', 'smartma01')"
23,L. Aldridge | D. Lillard | D. Wright,POR,2014-15,28,115.3,235,226,95.9,+8.8,+10.7,+.042,+9.2,+19.4,+.088,+.086,-0.5,-3.3,+.084,+26.2,"('aldrila01', 'lillada01', 'wrighdo01')"
24,S. Curry | F. Ezeli | A. Iguodala,GSW,2014-15,32,119.5,248,252,100.4,+9.9,+3.8,+.090,+6.5,+9.2,+.137,+.124,-0.1,-0.4,+.010,+26.2,"('curryst01', 'ezelife01', 'iguodan01')"
25,J. Crowder | J. Jerebko | K. Olynyk,BOS,2014-15,22,128.3,256,257,96.0,+8.3,+13.2,+.035,+9.4,+19.2,+.154,+.082,-0.3,-6.1,+.189,+25.7,"('crowdja01', 'jerebjo01', 'olynyke01')"
26,M. Dellavedova | L. James | I. Shumpert,CLE,2014-15,34,253.8,471,471,89.1,+6.6,-0.4,+.077,+9.3,+10.6,+.199,+.130,+3.2,+6.2,-.057,+25.7,"('dellama01', 'jamesle01', 'shumpim01')"
27,A. Horford | K. Korver | T. Sefolosha,ATL,2014-15,44,267.8,510,509,91.3,+11.1,+3.2,+.108,+3.7,-1.2,+.149,+.127,-0.2,-3.6,+.124,+25.7,"('horfoal01', 'korveky01', 'sefolth01')"
28,J. Dudley | K. Marshall | K. Middleton,MIL,2014-15,15,105.4,198,201,90.8,+11.6,+1.8,+.123,+4.7,-0.6,+.192,+.148,-2.3,-6.8,+.155,+25.6,"('dudleja01', 'marshke01', 'middlkh01')"
29,H. Barnes | S. Curry | A. Iguodala,GSW,2014-15,64,331.4,700,707,101.9,+8.5,0.0,+.098,+5.5,+5.0,+.137,+.129,+3.1,+5.4,-.034,+25.5,"('barneha02', 'curryst01', 'iguodan01')"
30,L. Barbosa | A. Bogut | S. Curry,GSW,2014-15,31,108.6,222,213,96.1,+11.2,+7.8,+.085,+6.4,+8.5,+.100,+.115,-3.8,-2.2,-.114,+25.4,"('barbole01', 'bogutan01', 'curryst01')"
31,M. Leonard | R. Lopez | C. McCollum,POR,2014-15,16,127.5,248,251,93.9,+9.7,+0.3,+.101,+7.0,+13.6,+.048,+.137,-1.0,-5.4,+.176,+25.3,"('leoname01', 'lopezro01', 'mccolcj01')"
32,A. Baynes | C. Joseph | K. Leonard,SAS,2014-15,31,150.0,291,302,94.9,+11.6,+4.8,+.110,+0.3,+2.1,-.024,+.109,+1.6,+1.1,+.036,+25.0,"('baynear01', 'josepco01', 'leonaka01')"
33,M. Dellavedova | K. Love | I. Shumpert,CLE,2014-15,23,104.2,189,195,88.4,+10.7,-1.8,+.124,+10.2,+4.0,+.310,+.180,-6.7,-2.4,-.208,+24.9,"('dellama01', 'loveke01', 'shumpim01')"
