,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
0,T. Duncan | M. Ginóbili | D. Green | K. Leonard,SAS,2014-15,21,57.1,116,121,99.7,+15.1,+6.1,+.145,+6.3,+4.3,+.202,+.178,+14.5,+11.7,+.188,+51.0,"('duncati01', 'ginobma01', 'greenda02', 'leonaka01')"
1,M. Conley | C. Lee | Q. Pondexter | Z. Randolph,MEM,2014-15,11,52.3,106,102,95.4,+20.5,+1.5,+.227,+1.5,-5.7,+.187,+.235,+5.1,+3.0,+.118,+47.5,"('conlemi01', 'leeco01', 'pondequ01', 'randoza01')"
2,M. Dellavedova | T. Mozgov | I. Shumpert | T. Thompson,CLE,2014-15,18,68.6,128,131,90.6,+13.2,+7.6,+.109,+8.7,+13.8,+.186,+.151,+11.9,+11.2,+.238,+46.9,"('dellama01', 'mozgoti01', 'shumpim01', 'thomptr01')"
3,H. Barnes | D. Green | A. Iguodala | S. Livingston,GSW,2014-15,19,62.8,124,120,93.2,+21.7,+7.9,+.216,+9.5,+4.8,+.280,+.267,-8.0,-5.9,-.138,+44.8,"('barneha02', 'greendr01', 'iguodan01', 'livinsh01')"
4,J. Bayless | B. Knight | K. Middleton | Z. Pachulia,MIL,2014-15,16,61.5,124,124,96.8,+14.5,+12.1,+.102,+5.6,+0.8,+.218,+.128,+9.7,+7.3,+.121,+44.4,"('bayleje01', 'knighbr03', 'middlkh01', 'pachuza01')"
5,M. Dellavedova | L. James | T. Mozgov | I. Shumpert,CLE,2014-15,20,68.8,127,128,89.0,+16.8,+1.5,+.169,+12.6,+13.6,+.288,+.235,-2.3,+0.1,-.143,+43.9,"('dellama01', 'jamesle01', 'mozgoti01', 'shumpim01')"
6,D. Carroll | K. Korver | M. Muscala | J. Teague,ATL,2014-15,7,60.5,122,121,96.4,+18.6,+8.3,+.167,+5.7,-1.0,+.224,+.195,+0.7,-1.0,+.076,+43.6,"('carrode01', 'korveky01', 'muscami01', 'teaguje01')"
7,A. Baynes | D. Green | C. Joseph | K. Leonard,SAS,2014-15,14,56.3,112,110,94.7,+14.6,+6.6,+.138,-2.8,+0.5,-.141,+.119,+16.9,+16.0,+.542,+43.4,"('baynear01', 'greenda02', 'josepco01', 'leonaka01')"
8,L. James | T. Mozgov | I. Shumpert | T. Thompson,CLE,2014-15,15,59.1,114,112,91.9,+12.6,-1.6,+.146,+7.8,+9.2,+.173,+.189,+10.4,+12.1,+.058,+43.3,"('jamesle01', 'mozgoti01', 'shumpim01', 'thomptr01')"
9,D. Carroll | A. Horford | K. Korver | M. Muscala,ATL,2014-15,6,54.9,111,111,97.1,+18.9,+9.0,+.167,+5.4,0.0,+.200,+.192,0.0,0.0,.000,+43.2,"('carrode01', 'horfoal01', 'korveky01', 'muscami01')"
10,A. Bradley | J. Crowder | M. Smart | T. Zeller,BOS,2014-15,29,95.1,190,191,96.1,+16.5,+17.8,+.086,+10.0,+9.6,+.284,+.134,-0.4,+2.8,-.088,+42.6,"('bradlav01', 'crowdja01', 'smartma01', 'zellety01')"
11,A. Brooks | J. Butler | N. Mirotić | T. Snell,CHI,2014-15,17,82.8,159,157,91.6,+12.8,+6.5,+.117,+6.2,+9.8,+.115,+.149,+9.8,+9.1,+.080,+41.7,"('brookaa01', 'butleji01', 'mirotni01', 'snellto01')"
12,D. Carroll | A. Horford | M. Muscala | J. Teague,ATL,2014-15,7,55.9,112,115,97.4,+17.8,+5.9,+.169,+5.5,+0.7,+.200,+.197,+0.3,+0.4,.000,+41.4,"('carrode01', 'horfoal01', 'muscami01', 'teaguje01')"
13,A. Horford | K. Korver | M. Scott | T. Sefolosha,ATL,2014-15,29,108.0,204,203,90.5,+16.0,-0.4,+.178,+7.8,-4.1,+.289,+.222,+0.9,-0.6,+.066,+40.8,"('horfoal01', 'korveky01', 'scottmi01', 'sefolth01')"
14,H. Barnes | S. Curry | A. Iguodala | S. Livingston,GSW,2014-15,22,68.8,139,136,95.9,+13.7,+1.8,+.152,+9.2,+10.4,+.205,+.205,+3.9,+7.4,-.054,+40.6,"('barneha02', 'curryst01', 'iguodan01', 'livinsh01')"
15,M. Ginóbili | K. Leonard | T. Parker | T. Splitter,SAS,2014-15,21,55.7,112,110,95.6,+16.3,+11.9,+.119,+7.1,+6.9,+.260,+.153,+0.6,+1.4,-.027,+40.4,"('ginobma01', 'leonaka01', 'parketo01', 'splitti01')"
16,A. Horford | K. Korver | M. Muscala | J. Teague,ATL,2014-15,7,65.9,130,132,95.5,+18.9,+14.4,+.140,+4.0,+3.5,+.104,+.155,-1.4,-1.3,-.030,+40.4,"('horfoal01', 'korveky01', 'muscami01', 'teaguje01')"
17,S. Adams | S. Ibaka | A. Morrow | A. Roberson,OKC,2014-15,12,50.4,102,100,96.1,+12.2,-0.7,+.143,+8.7,+10.4,+.216,+.193,+6.6,+4.5,+.141,+39.8,"('adamsst01', 'ibakase01', 'morroan01', 'roberan03')"
18,M. Dellavedova | K. Irving | I. Shumpert | T. Thompson,CLE,2014-15,20,48.3,100,106,102.4,+10.2,+13.9,+.042,+13.2,+16.2,+.278,+.109,+6.1,-2.2,+.263,+39.6,"('dellama01', 'irvinky01', 'shumpim01', 'thomptr01')"
19,T. Allen | N. Calathes | K. Koufos | Z. Randolph,MEM,2014-15,18,63.8,118,123,90.7,+15.5,+4.6,+.152,-1.4,-10.8,+.108,+.142,+9.7,+14.2,+.036,+39.4,"('allento01', 'calatni01', 'koufoko01', 'randoza01')"
