,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
0,A. Horford | K. Korver | M. Scott | T. Sefolosha,ATL,2014-15,29,108.0,204,203,90.5,+16.0,-0.4,+.178,+7.8,-4.1,+.289,+.222,+0.9,-0.6,+.066,+40.8
1,A. Horford | K. Korver | D. Schröder | T. Sefolosha,ATL,2014-15,27,117.1,224,217,90.4,+15.1,+5.3,+.141,+6.5,-3.3,+.237,+.173,+0.9,-2.4,+.151,+37.5
2,T. Booker | T. Burke | D. Favors | R. Hood,UTA,2014-15,31,115.5,210,217,88.7,+13.8,+7.5,+.125,+0.2,-2.5,+.042,+.122,+5.3,+1.4,+.154,+33.2
3,K. Korver | D. Schröder | M. Scott | T. Sefolosha,ATL,2014-15,25,102.7,202,200,93.9,+14.6,+2.1,+.154,+6.9,-1.3,+.230,+.191,-4.1,-6.7,+.057,+31.8
4,H. Barnes | S. Curry | D. Green | A. Iguodala,GSW,2014-15,41,147.6,317,324,104.2,+10.1,-0.3,+.121,+5.8,+3.5,+.148,+.156,+2.4,+5.7,-.058,+28.5
5,J. Bayless | J. Dudley | K. Middleton | Z. Pachulia,MIL,2014-15,25,137.4,264,265,92.4,+9.2,+10.5,+.054,+3.8,-1.4,+.175,+.070,+5.7,+5.8,+.055,+28.0
6,A. Bogut | S. Curry | A. Iguodala | K. Thompson,GSW,2014-15,56,248.3,514,512,99.2,+10.8,+7.5,+.086,+7.8,+11.4,+.132,+.125,-1.8,-3.2,+.036,+27.4
7,L. James | K. Love | S. Marion | T. Thompson,CLE,2014-15,27,145.5,287,286,94.5,+5.1,+5.6,+.027,+2.4,-1.1,+.135,+.038,+13.9,+13.5,+.128,+26.5
8,J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,2014-15,32,151.4,314,297,96.9,+10.3,+5.5,+.093,+4.7,+0.9,+.179,+.118,+1.0,+1.8,-.019,+26.3
9,M. Belinelli | B. Diaw | M. Ginóbili | C. Joseph,SAS,2014-15,23,127.6,253,251,94.8,+8.0,+2.9,+.078,+5.1,+5.4,+.137,+.106,+4.7,+1.0,+.202,+25.8
10,A. Brooks | J. Butler | N. Mirotić | J. Noah,CHI,2014-15,25,123.9,237,231,90.7,+7.2,-4.7,+.109,+4.9,+6.3,+.127,+.140,+6.1,+4.7,+.070,+25.4
11,C. Brewer | J. Harden | J. Smith | J. Terry,HOU,2014-15,48,225.5,491,474,102.7,+6.1,-7.2,+.109,+6.5,+6.6,+.149,+.151,+6.7,+8.1,+.032,+25.4
12,H. Barnes | S. Curry | A. Iguodala | K. Thompson,GSW,2014-15,48,180.0,394,402,106.2,+7.5,-5.3,+.116,+4.9,+3.1,+.140,+.148,+5.3,+7.9,-.028,+25.2
13,M. Dellavedova | L. James | I. Shumpert | T. Thompson,CLE,2014-15,33,212.9,395,394,89.0,+5.7,+0.8,+.061,+9.1,+11.1,+.185,+.112,+4.5,+8.3,-.070,+25.1
14,K. Korver | P. Millsap | T. Sefolosha | J. Teague,ATL,2014-15,27,180.3,358,352,94.5,+8.6,+0.2,+.095,+1.5,+1.0,+.046,+.104,+5.9,+4.4,+.127,+24.6
15,D. Green | A. Iguodala | M. Speights | K. Thompson,GSW,2014-15,52,177.0,372,357,98.8,+8.2,-3.4,+.109,+4.6,+8.6,+.074,+.136,+3.3,+2.0,+.070,+24.2
16,L. Aldridge | S. Blake | C. Kaman | C. McCollum,POR,2014-15,32,121.1,240,243,95.7,+9.2,-0.1,+.101,+6.7,+9.8,+.152,+.137,-1.1,-1.0,-.016,+24.0
17,G. Antetokounmpo | J. Dudley | K. Middleton | Z. Pachulia,MIL,2014-15,29,116.9,225,222,91.8,+8.0,+1.5,+.084,+2.2,-4.3,+.152,+.096,+5.6,+6.0,+.042,+23.8
18,S. Ibaka | R. Jackson | A. Morrow | K. Perkins,OKC,2014-15,33,111.9,216,215,92.5,+14.2,+13.5,+.095,+3.7,-2.9,+.174,+.109,-8.4,-14.5,+.069,+23.7
19,O. Casspi | D. Cousins | B. McLemore | J. Thompson,SAC,2014-15,15,101.6,203,203,96.0,+9.4,-4.9,+.141,-3.0,-13.8,+.143,+.126,+7.9,+6.4,+.124,+23.6
20,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,
22,A. Johnson | P. Patterson | T. Ross | L. Williams,TOR,2014-15,34,110.6,215,211,92.5,+6.3,+0.7,+.067,+7.8,+4.6,+.216,+.110,+2.9,+8.0,-.111,+23.3
23,A. Bogut | D. Green | A. Iguodala | K. Thompson,GSW,2014-15,52,229.3,468,473,98.5,+8.3,+7.1,+.059,+7.3,+12.8,+.102,+.097,-0.6,-2.9,+.078,+23.2
24,D. Green | K. Leonard | T. Parker | T. Splitter,SAS,2014-15,31,301.1,589,596,94.4,+9.8,+0.1,+.107,+0.9,-1.2,+.083,+.112,+2.5,+1.6,+.068,+23.1
25,A. Bogut | S. Curry | D. Green | A. Iguodala,GSW,2014-15,55,256.7,523,528,98.3,+9.3,+10.0,+.055,+8.5,+15.3,+.097,+.097,-4.6,-6.4,+.033,+22.7
26,K. Irving | L. James | K. Love | T. Thompson,CLE,2014-15,58,398.8,767,754,91.5,+2.8,-1.1,+.038,+2.6,+2.8,+.061,+.053,+14.2,+16.4,+.050,+22.5
27,K. Irving | L. James | I. Shumpert | T. Thompson,CLE,2014-15,26,114.0,225,230,95.8,+2.3,-6.5,+.065,+8.6,+15.6,+.084,+.120,+9.2,+7.1,+.160,+22.3
28,A. Aminu | T. Chandler | M. Ellis | C. Parsons,DAL,2014-15,42,241.0,488,501,98.5,+9.8,+8.0,+.075,+2.0,+3.3,+.038,+.083,+0.5,+1.1,-.012,+22.2
29,H. Barnes | D. Green | A. Iguodala | K. Thompson,GSW,2014-15,41,132.9,284,299,105.3,+7.0,-3.3,+.101,+3.5,-0.5,+.120,+.124,+4.7,+6.2,+.002,+22.2
30,S. Curry | D. Green | A. Iguodala | K. Thompson,GSW,2014-15,68,485.2,1031,1029,101.9,+7.7,+2.7,+.074,+6.1,+9.8,+.094,+.107,+0.6,-0.2,+.031,+22.1
31,P. Antić | P. Millsap | T. Sefolosha | J. Teague,ATL,2014-15,26,126.2,256,254,97.0,+6.8,+2.5,+.067,+1.1,+6.9,-.048,+.072,+7.3,+8.4,+.044,+22.0
