,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
0,D. Carroll | A. Horford | K. Korver | M. Muscala | J. Teague,ATL,2014-15,6,54.2,109,110,97.0,+20.5,+9.0,+.184,+5.6,+0.3,+.200,+.210,+0.1,+0.1,.000,+46.5
1,A. Horford | K. Korver | D. Schröder | M. Scott | T. Sefolosha,ATL,2014-15,23,78.0,150,147,91.4,+16.0,+1.5,+.168,+9.2,-2.0,+.294,+.217,+1.1,-0.4,+.077,+42.4
2,A. Aminu | J. Barea | T. Chandler | M. Ellis | C. Parsons,DAL,2014-15,17,49.2,97,104,98.0,+15.5,+16.2,+.100,+3.5,-2.3,+.178,+.112,+4.1,+2.5,+.104,+38.6
3,T. Booker | T. Burke | D. Favors | G. Hayward | R. Hood,UTA,2014-15,19,52.6,96,104,91.3,+13.1,-4.2,+.178,-2.4,-16.3,+.171,+.166,+13.0,+12.7,+.114,+36.7
4,P. Antić | K. Korver | P. Millsap | T. Sefolosha | J. Teague,ATL,2014-15,15,64.1,135,123,96.5,+11.0,+6.0,+.095,+2.2,+6.9,-.011,+.105,+11.7,+12.6,+.119,+35.8
5,K. Irving | L. James | K. Love | S. Marion | T. Thompson,CLE,2014-15,26,110.6,216,214,93.3,+7.5,+8.0,+.041,+2.7,-1.1,+.145,+.053,+13.3,+13.7,+.097,+31.0
6,M. Dellavedova | K. Irving | L. James | K. Love | T. Thompson,CLE,2014-15,11,52.1,91,91,83.9,+5.5,+9.9,+.006,-2.2,+5.5,-.125,-0.016,+22.0,+26.4,-.121,+30.8
7,A. Brooks | J. Butler | P. Gasol | J. Noah | D. Rose,CHI,2014-15,10,53.6,115,110,100.7,+9.1,+4.3,+.087,+5.0,+8.9,+.099,+.115,+6.8,+9.3,-.043,+30.0
8,B. Biyombo | G. Henderson | M. Kidd-Gilchrist | K. Walker | M. Williams,CHO,2014-15,14,57.0,113,107,92.6,+11.5,-0.3,+.130,+0.5,-13.9,+.245,+.133,+5.5,+14.2,-.178,+29.0
9,G. Hill | S. Hill | I. Mahinmi | C. Miles | D. West,IND,2014-15,11,56.0,110,110,94.2,+9.1,-3.6,+.132,+4.5,+10.9,+.033,+.162,+5.5,+6.4,+.022,+28.2
10,M. Barnes | J. Crawford | D. Jordan | C. Paul | J. Redick,LAC,2014-15,13,55.6,120,119,103.1,+4.7,-12.4,+.124,-1.7,-11.1,+.044,+.121,+19.9,+29.8,+.033,+27.5
11,A. Bogut | S. Curry | D. Green | A. Iguodala | K. Thompson,GSW,2014-15,50,180.1,373,375,99.7,+9.6,+9.0,+.062,+9.1,+15.7,+.122,+.109,-1.0,-2.8,+.058,+27.3
12,G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,2014-15,16,68.7,137,132,94.0,+9.7,+0.6,+.114,+3.4,-2.3,+.185,+.134,+3.9,+6.8,-.083,+26.8
