,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
0,Stephen Curry,2015-16,27,GSW,NBA,17.9,79,79,2700,14.4,28.6,7.2,12.7,7.2,15.9,6.5,7.2,1.2,6.5,7.7,9.4,3.0,0.3,4.7,2.9,42.5,0.504,0.5660000000000001,0.45399999999999996,0.63,0.9079999999999999,0.669
1,James Harden,2014-15,25,HOU,NBA,16.4,81,81,2981,10.8,24.5,7.3,15.3,3.5,9.3,11.9,13.7,1.3,6.4,7.7,9.4,2.6,1.0,5.4,3.5,37.0,0.44,0.48,0.375,0.511,0.868,0.605
2,Chris Paul,2014-15,29,LAC,NBA,16.1,82,82,2857,10.1,20.8,7.6,14.6,2.5,6.2,5.1,5.7,0.9,5.7,6.7,14.9,2.8,0.3,3.4,3.6,27.7,0.485,0.523,0.39799999999999996,0.545,0.9,0.596
3,Stephen Curry,2014-15,26,GSW,NBA,15.7,80,80,2613,12.2,25.1,6.9,13.0,5.3,12.1,5.8,6.3,1.0,5.3,6.4,11.6,3.0,0.3,4.7,3.0,35.5,0.48700000000000004,0.528,0.44299999999999995,0.594,0.914,0.638
4,James Harden,2017-18,28,HOU,NBA,15.4,72,72,2551,12.6,27.9,7.4,14.0,5.1,13.9,12.0,14.0,0.8,6.7,7.5,12.2,2.4,1.0,6.1,3.3,42.3,0.449,0.531,0.36700000000000005,0.541,0.858,0.619
5,James Harden,2018-19,29,HOU,NBA,15.2,78,78,2867,14.4,32.7,8.0,15.1,6.5,17.6,12.9,14.7,1.1,7.7,8.9,10.0,2.7,1.0,6.6,4.2,48.2,0.442,0.528,0.368,0.541,0.879,0.616
6,James Harden,2016-17,27,HOU,NBA,15.0,81,81,2947,11.0,25.0,6.7,12.7,4.3,12.3,12.1,14.3,1.5,9.2,10.7,14.8,2.0,0.6,7.6,3.5,38.4,0.44,0.53,0.34700000000000003,0.525,0.847,0.613
7,Kevin Durant,2015-16,27,OKC,NBA,14.5,72,72,2578,13.4,26.6,9.9,17.3,3.6,9.3,8.6,9.6,0.9,10.5,11.3,7.0,1.3,1.6,4.8,2.6,39.1,0.505,0.569,0.387,0.573,0.898,0.634
8,Giannis Antetokounmpo,2018-19,24,MIL,NBA,14.4,72,72,2358,14.2,24.6,13.2,20.6,1.0,4.0,9.9,13.5,3.1,14.6,17.7,8.4,1.8,2.2,5.3,4.6,39.3,0.578,0.6409999999999999,0.256,0.599,0.7290000000000001,0.644
10,Rudy Gobert,2016-17,24,UTA,NBA,14.3,81,81,2744,7.9,11.9,7.9,11.9,0.0,0.0,5.9,9.1,6.0,13.8,19.8,1.9,0.9,4.1,2.8,4.7,21.7,.661,.662,.000,.661,.653,.681
11,Anthony Davis,2014-15,21,NOP,NBA,14.0,68,68,2455,13.7,25.7,13.7,25.4,0.0,0.3,7.9,9.9,3.7,11.2,14.9,3.2,2.1,4.3,2.0,3.0,35.4,.535,.540,.083,.536,.805,.591
12,LeBron James,2017-18,33,CLE,NBA,14.0,82,82,3026,13.9,25.6,11.5,19.0,2.4,6.6,6.3,8.6,1.6,9.9,11.5,12.1,1.9,1.1,5.6,2.2,36.4,.542,.603,.367,.590,.731,.621
13,Karl-Anthony Towns,2017-18,22,MIN,NBA,14.0,82,82,2918,11.0,20.1,8.9,15.2,2.1,4.9,5.9,6.9,4.1,13.3,17.3,3.4,1.1,2.0,2.7,4.9,29.9,.545,.585,.421,.596,.858,.646
14,Russell Westbrook,2015-16,27,OKC,NBA,14.0,80,80,2750,11.8,26.1,10.0,19.9,1.8,6.2,8.4,10.3,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,.454,.503,.296,.489,.812,.554
15,Jimmy Butler,2016-17,27,CHI,NBA,13.8,76,75,2809,10.2,22.5,8.6,18.0,1.6,4.4,10.5,12.1,2.3,6.1,8.4,7.5,2.6,0.6,2.9,2.0,32.6,.455,.477,.367,.492,.865,.586
16,Anthony Davis,2017-18,24,NOP,NBA,13.7,75,75,2727,13.7,25.6,12.7,22.8,1.0,2.8,8.7,10.5,3.3,11.3,14.6,3.0,2.0,3.4,2.8,2.8,36.9,.534,.558,.340,.552,.828,.612
17,Kawhi Leonard,2015-16,24,SAS,NBA,13.7,72,72,2380,11.9,23.4,9.1,17.2,2.8,6.3,6.3,7.2,2.0,8.6,10.6,4.0,2.8,1.5,2.3,2.9,32.8,.506,.528,.443,.565,.874,.616
18,LeBron James,2015-16,31,CLE,NBA,13.6,76,76,2709,14.0,26.9,12.3,21.5,1.7,5.4,6.8,9.3,2.1,8.6,10.7,9.8,2.0,0.9,4.7,2.7,36.5,.520,.573,.309,.551,.731,.588
19,Kawhi Leonard,2016-17,25,SAS,NBA,13.6,74,74,2474,13.1,27.0,10.1,19.1,3.0,8.0,9.7,11.0,1.6,7.2,8.9,5.4,2.7,1.1,3.2,2.5,38.9,.485,.529,.380,.541,.880,.610
