,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Season,pid
0,21,OKC,NBA,PG,2,3,-5.0,.500,.000,.000,0.0,38.3,18.5,0.0,0.0,0.0,33.3,42.9,,0.0,0.0,0.0,-0.404,,-17.7,-2.7,-20.4,0.0,2017-18,1628408
1,22,BOS,NBA,SG,6,51,16.0,.434,.381,.095,12.5,23.1,17.8,13.7,1.9,0.0,0.0,18.5,,0.1,0.1,0.1,.125,,-1.3,-0.6,-2.0,0.0,2018-19,1628408
2,23,DEN,NBA,SG,29,412,11.6,.495,.312,.185,2.7,12.2,7.5,21.6,1.7,1.3,13.7,20.8,,0.0,0.4,0.4,.044,,-2.6,-1.3,-3.9,-0.2,2019-20,1628408
3,24,DEN,NBA,SG,29,588,12.3,.546,.421,.251,4.5,16.2,10.4,10.4,1.3,2.5,11.0,17.0,,0.4,0.5,1.0,.080,,-1.2,-0.7,-1.9,0.0,2020-21,1628408
4,,,NBA,,66,1054,12.1,.518,.369,.212,4.2,15.0,9.6,14.9,1.5,1.9,11.8,18.6,,0.5,1.0,1.5,.066,,-1.8,-0.9,-2.7,-0.2,Career,1628408
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628408
6,,DEN,NBA,,58,1000,12.0,.523,.371,.221,3.8,14.5,9.2,15.0,1.4,2.0,12.2,18.5,,0.5,0.9,1.4,.065,,-1.8,-0.9,-2.7,-0.2,2 seasons,1628408
7,,BOS,NBA,,6,51,16.0,.434,.381,.095,12.5,23.1,17.8,13.7,1.9,0.0,0.0,18.5,,0.1,0.1,0.1,.125,,-1.3,-0.6,-2.0,0.0,1 season,1628408
8,,OKC,NBA,,2,3,-5.0,.500,.000,.000,0.0,38.3,18.5,0.0,0.0,0.0,33.3,42.9,,0.0,0.0,0.0,-0.404,,-17.7,-2.7,-20.4,0.0,1 season,1628408
9,19,UTA,NBA,C,66,874,14.5,.539,.004,.445,13.9,22.7,18.3,1.4,1.1,2.1,16.1,17.3,,0.9,0.8,1.7,.095,,-1.2,-1.7,-3.0,-0.2,2011-12,202683
10,20,UTA,NBA,C,70,1078,17.6,.588,.003,.309,14.5,18.6,16.5,5.0,1.4,2.3,19.0,22.4,,1.2,1.0,2.3,.101,,-0.7,-1.4,-2.1,0.0,2012-13,202683
11,21,UTA,NBA,C,80,2138,15.6,.523,.001,.239,11.6,20.9,16.1,6.4,0.7,1.5,13.3,23.3,,1.3,0.9,2.2,.050,,-1.2,-2.4,-3.6,-0.9,2013-14,202683
12,22,TOT,NBA,C,75,2135,20.3,.564,.048,.252,14.6,20.5,17.6,4.8,0.9,1.1,12.3,24.7,,4.3,2.1,6.4,.145,,1.6,-2.5,-0.9,0.6,2014-15,202683
13,22,UTA,NBA,C,49,1326,17.5,.535,.070,.203,12.9,20.5,16.7,3.8,0.9,1.0,12.8,25.1,,1.4,1.3,2.7,.099,,0.0,-2.7,-2.7,-0.2,2014-15,202683
14,22,OKC,NBA,C,26,809,24.9,.611,.012,.335,17.5,20.5,19.0,6.4,0.8,1.3,11.6,23.9,,2.9,0.8,3.7,.220,,4.4,-2.3,2.0,0.8,2014-15,202683
15,23,OKC,NBA,C,82,1721,24.0,.626,.029,.349,16.7,24.9,21.0,3.1,0.7,1.5,12.2,23.4,,6.0,2.1,8.1,.226,,3.3,-2.1,1.2,1.4,2015-16,202683
16,24,OKC,NBA,C,72,1533,23.7,.599,.052,.387,14.1,20.8,17.4,7.9,1.0,2.0,12.5,27.3,,4.0,1.8,5.8,.183,,3.0,-1.3,1.7,1.4,2016-17,202683
17,25,NYK,NBA,C,71,1830,24.0,.630,.003,.258,16.6,30.6,23.6,9.4,1.0,1.7,13.3,21.8,,5.5,2.1,7.6,.198,,3.3,-1.1,2.2,1.9,2017-18,202683
18,26,TOT,NBA,C,67,1640,22.3,.594,.050,.288,16.4,26.1,21.1,12.1,0.9,1.3,13.3,23.1,,3.9,1.6,5.4,.159,,2.5,-1.5,1.0,1.2,2018-19,202683
19,26,NYK,NBA,C,44,1128,21.8,.585,.047,.276,15.5,27.5,21.4,13.1,0.8,1.3,13.1,22.9,,2.4,0.9,3.4,.143,,2.5,-1.6,0.8,0.8,2018-19,202683
20,26,POR,NBA,C,23,512,23.5,.614,.056,.316,18.3,22.8,20.6,9.9,1.3,1.4,13.7,23.4,,1.5,0.6,2.1,.196,,2.6,-1.3,1.3,0.4,2018-19,202683
21,27,BOS,NBA,C,58,983,22.4,.599,.020,.284,18.0,28.9,23.5,8.8,1.1,3.9,12.5,19.4,,2.6,1.8,4.4,.214,,1.8,-0.3,1.5,0.9,2019-20,202683
22,28,POR,NBA,C,43,1146,22.3,.631,.003,.306,16.5,30.9,23.4,7.4,0.9,2.4,10.8,17.4,,3.7,0.9,4.6,.192,,1.6,-2.1,-0.5,0.4,2020-21,202683
23,,,NBA,,684,15078,20.8,.588,.025,.300,15.1,24.2,19.7,6.8,0.9,1.8,13.2,22.6,,33.4,15.2,48.5,.155,,1.5,-1.7,-0.2,6.8,Career,202683
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202683
25,,UTA,NBA,,265,5416,16.3,.541,.021,.265,12.9,20.7,16.7,4.7,0.9,1.6,14.6,22.6,,4.8,4.1,8.9,.079,,-0.8,-2.2,-3.0,-1.3,4 seasons,202683
26,,OKC,NBA,,180,4063,24.1,.612,.035,.362,15.8,22.5,19.3,5.6,0.9,1.6,12.2,25.0,,12.9,4.8,17.6,.208,,3.4,-1.8,1.6,3.7,3 seasons,202683
27,,NYK,NBA,,115,2958,23.1,.612,.020,.265,16.2,29.4,22.8,10.8,0.9,1.6,13.2,22.2,,7.9,3.0,10.9,.177,,3.0,-1.3,1.7,2.7,2 seasons,202683
28,,POR,NBA,,66,1658,22.7,.625,.022,.310,17.1,28.4,22.5,8.2,1.1,2.1,11.9,19.3,,5.2,1.5,6.7,.193,,1.9,-1.8,0.1,0.9,2 seasons,202683
29,,BOS,NBA,,58,983,22.4,.599,.020,.284,18.0,28.9,23.5,8.8,1.1,3.9,12.5,19.4,,2.6,1.8,4.4,.214,,1.8,-0.3,1.5,0.9,1 season,202683
30,27,ATL,NBA,PG,73,1248,7.5,.456,.284,.240,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,,-1.2,1.3,0.1,.005,,-5.3,-0.3,-5.6,-1.1,2016-17,1627098
31,28,ATL,NBA,PG,54,1014,10.6,.519,.435,.323,1.0,10.0,5.5,23.4,1.7,0.5,16.9,16.9,,0.4,0.6,1.0,.047,,-2.2,-0.4,-2.6,-0.1,2017-18,1627098
