"namePlayerBREF","slugPlayerBREF","isActive","yearsPlayer","countSeasons","slugSeasonRookie","slugSeasonLast","urlPlayerBioBREF"
"A.C. Green","greenac01",FALSE,"1986-2001",16,"1985-86","2000-01","https://www.basketball-reference.com/players/g/greenac01.html"
"A.J. Bramlett","bramlaj01",FALSE,"2000",1,"1999-00","1999-00","https://www.basketball-reference.com/players/b/bramlaj01.html"
"A.J. English","engliaj01",FALSE,"1991-1992",2,"1990-91","1991-92","https://www.basketball-reference.com/players/e/engliaj01.html"
"A.J. Guyton","guytoaj01",FALSE,"2001-2003",3,"2000-01","2002-03","https://www.basketball-reference.com/players/g/guytoaj01.html"
"A.J. Hammons","hammoaj01",FALSE,"2017",1,"2016-17","2016-17","https://www.basketball-reference.com/players/h/hammoaj01.html"
"A.J. Matthews","matthaj01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/m/matthaj01.html"
"A.J. Price","priceaj01",FALSE,"2010-2015",6,"2009-10","2014-15","https://www.basketball-reference.com/players/p/priceaj01.html"
"A.J. Slaughter","slaugaj01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/s/slaugaj01.html"
"A.J. Wynder","wyndeaj01",FALSE,"1991",1,"1990-91","1990-91","https://www.basketball-reference.com/players/w/wyndeaj01.html"
"A.W. Holt","holtaw01",FALSE,"1971",1,"1970-71","1970-71","https://www.basketball-reference.com/players/h/holtaw01.html"
"Aaron Brooks","brookaa01",FALSE,"2008-2018",11,"2007-08","2017-18","https://www.basketball-reference.com/players/b/brookaa01.html"
"Aaron Craft","craftaa01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/c/craftaa01.html"
"Aaron Gordon","gordoaa01",TRUE,"2015-2021",7,"2014-15","2020-21","https://www.basketball-reference.com/players/g/gordoaa01.html"
"Aaron Gray","grayaa01",FALSE,"2008-2014",7,"2007-08","2013-14","https://www.basketball-reference.com/players/g/grayaa01.html"
"Aaron Harrison","harriaa01",FALSE,"2016-2018",3,"2015-16","2017-18","https://www.basketball-reference.com/players/h/harriaa01.html"
"Aaron Holiday","holidaa01",TRUE,"2019-2021",3,"2018-19","2020-21","https://www.basketball-reference.com/players/h/holidaa01.html"
"Aaron Jackson","jacksaa01",FALSE,"2018",1,"2017-18","2017-18","https://www.basketball-reference.com/players/j/jacksaa01.html"
"Aaron James","jamesaa01",FALSE,"1975-1979",5,"1974-75","1978-79","https://www.basketball-reference.com/players/j/jamesaa01.html"
"Aaron McKie","mckieaa01",FALSE,"1995-2007",13,"1994-95","2006-07","https://www.basketball-reference.com/players/m/mckieaa01.html"
"Aaron Miles","milesaa01",FALSE,"2006",1,"2005-06","2005-06","https://www.basketball-reference.com/players/m/milesaa01.html"
"Aaron Nesmith","nesmiaa01",TRUE,"2021",1,"2020-21","2020-21","https://www.basketball-reference.com/players/n/nesmiaa01.html"
"Aaron Swinson","swinsaa01",FALSE,"1995",1,"1994-95","1994-95","https://www.basketball-reference.com/players/s/swinsaa01.html"
"Aaron White","whiteaa01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/w/whiteaa01.html"
"Aaron Williams","williaa01",FALSE,"1994-2008",15,"1993-94","2007-08","https://www.basketball-reference.com/players/w/williaa01.html"
"Abdel Nader","naderab01",TRUE,"2018-2021",4,"2017-18","2020-21","https://www.basketball-reference.com/players/n/naderab01.html"
"Abdoulaye N'Doye","ndoyeab01",FALSE,NA,NA,NA,NA,"https://www.basketball-reference.com/players/n/ndoyeab01.html"
