,Team,Lg,Salary,Season,pid
0,Oklahoma City Thunder,NBA,< $Minimum,2017-18,1628408
1,Boston Celtics,NBA,< $Minimum,2018-19,1628408
2,Denver Nuggets,NBA,"$183,115",2019-20,1628408
3,(may be incomplete),,"$183,115",Career,1628408
4,Utah Jazz,NBA,"$4,133,280",2011-12,202683
5,Utah Jazz,NBA,"$4,443,360",2012-13,202683
6,Utah Jazz,NBA,"$4,505,280",2013-14,202683
7,Oklahoma City Thunder,NBA,"$5,694,674",2014-15,202683
8,Oklahoma City Thunder,NBA,"$16,400,000",2015-16,202683
9,Oklahoma City Thunder,NBA,"$17,145,838",2016-17,202683
10,New York Knicks,NBA,"$20,566,802",2017-18,202683
11,New York Knicks,NBA,"$18,622,514",2018-19,202683
12,Portland Trail Blazers,NBA,"$653,556",2018-19,202683
13,Boston Celtics,NBA,"$4,767,000",2019-20,202683
14,(may be incomplete),,"$96,932,304",Career,202683
15,Atlanta Hawks,NBA,"$2,500,000",2016-17,1627098
16,Atlanta Hawks,NBA,"$2,500,000",2017-18,1627098
17,(may be incomplete),,"$5,000,000",Career,1627098
18,Detroit Pistons,NBA,"$1,677,840",2009-10,201948
19,Detroit Pistons,NBA,"$1,803,720",2010-11,201948
20,Detroit Pistons,NBA,"$1,929,600",2011-12,201948
21,Memphis Grizzlies,NBA,"$2,958,077",2012-13,201948
22,Toronto Raptors,NBA,"$947,907",2013-14,201948
23,San Antonio Spurs,NBA,"$1,063,384",2014-15,201948
24,Atlanta Hawks,NBA,"$125,104",2014-15,201948
25,(may be incomplete),,"$10,505,632",Career,201948
26,New York Knicks,NBA,"$1,572,360",2015-16,1626170
27,Chicago Bulls,NBA,"$1,643,040",2016-17,1626170
28,Chicago Bulls,NBA,"$1,713,840",2017-18,1626170
29,Orlando Magic,NBA,"$2,639,314",2018-19,1626170
30,Washington Wizards,NBA,"$196,288",2019-20,1626170
31,(may be incomplete),,"$7,764,842",Career,1626170
32,Oklahoma City Thunder,NBA,"$2,126,520",2010-11,202332
33,Oklahoma City Thunder,NBA,"$2,286,000",2011-12,202332
34,Sacramento Kings,NBA,"$2,445,480",2012-13,202332
35,New York Knicks,NBA,"$981,084",2014-15,202332
36,Los Angeles Clippers,NBA,"$1,100,600",2015-16,202332
37,Minnesota Timberwolves,NBA,"$7,643,979",2016-17,202332
38,Minnesota Timberwolves,NBA,"$7,300,000",2017-18,202332
39,Minnesota Timberwolves,NBA,"$685,341",2018-19,202332
40,Minnesota Timberwolves,NBA,"$685,340",2019-20,202332
41,(may be incomplete),,"$25,254,344",Career,202332
42,Atlanta Hawks,NBA,< $Minimum,2017-18,1628510
43,(may be incomplete),,$0,Career,1628510
44,Utah Jazz,NBA,"$1,290,360",2014-15,203918
45,Utah Jazz,NBA,"$1,348,440",2015-16,203918
46,Utah Jazz,NBA,"$1,406,520",2016-17,203918
47,Cleveland Cavaliers,NBA,"$2,386,864",2017-18,203918
48,Portland Trail Blazers,NBA,"$3,472,888",2018-19,203918
49,Portland Trail Blazers,NBA,"$5,718,000",2019-20,203918
50,(may be incomplete),,"$15,623,072",Career,203918
51,Los Angeles Lakers,NBA,"$5,281,680",2016-17,1627742
52,Los Angeles Lakers,NBA,"$5,519,400",2017-18,1627742
53,Los Angeles Lakers,NBA,"$5,757,120",2018-19,1627742
54,New Orleans Pelicans,NBA,"$7,265,485",2019-20,1627742
55,(may be incomplete),,"$23,823,685",Career,1627742
56,Philadelphia 76ers,NBA,"$3,172,320",2013-14,203457
57,Philadelphia 76ers,NBA,"$3,315,120",2014-15,203457
58,Philadelphia 76ers,NBA,"$3,457,800",2015-16,203457
59,Dallas Mavericks,NBA,"$4,384,490",2016-17,203457
60,Dallas Mavericks,NBA,"$4,187,599",2017-18,203457
61,Oklahoma City Thunder,NBA,"$1,757,429",2018-19,203457
62,Oklahoma City Thunder,NBA,"$2,028,594",2019-20,203457
63,(may be incomplete),,"$22,303,352",Career,203457
64,Utah Jazz,NBA,"$241,731",2014-15,202407
65,Utah Jazz,NBA,"$362,878",2015-16,202407
66,Phoenix Suns,NBA,"$23,069",2016-17,202407
67,(may be incomplete),,"$627,678",Career,202407
68,Cleveland Cavaliers,NBA,"$1,682,280",1999-00,1889
69,Cleveland Cavaliers,NBA,"$1,808,400",2000-01,1889
70,Cleveland Cavaliers,NBA,"$1,934,520",2001-02,1889
71,Los Angeles Clippers,NBA,"$2,460,709",2002-03,1889
72,Denver Nuggets,NBA,"$8,000,000",2003-04,1889
73,Denver Nuggets,NBA,"$7,366,667",2004-05,1889
74,Denver Nuggets,NBA,"$8,100,000",2005-06,1889
75,Philadelphia 76ers,NBA,"$8,733,333",2006-07,1889
76,Philadelphia 76ers,NBA,"$9,366,666",2007-08,1889
77,Philadelphia 76ers,NBA,"$10,333,334",2008-09,1889
78,Portland Trail Blazers,NBA,"$6,730,800",2009-10,1889
79,Portland Trail Blazers,NBA,"$7,269,264",2010-11,1889
80,Denver Nuggets,NBA,"$7,807,728",2011-12,1889
81,Denver Nuggets,NBA,"$5,000,000",2012-13,1889
82,Denver Nuggets,NBA,"$5,000,000",2013-14,1889
83,Sacramento Kings,NBA,"$4,625,000",2014-15,1889
84,Minnesota Timberwolves,NBA,"$1,499,187",2015-16,1889
85,San Antonio Spurs,NBA,"$396,844",2015-16,1889
86,(may be incomplete),,"$98,114,732",Career,1889
87,New Jersey Nets,NBA,"$1,379,400",2001-02,2210
88,New Jersey Nets,NBA,"$1,482,840",2002-03,2210
89,New Jersey Nets,NBA,"$1,586,280",2003-04,2210
90,New Jersey Nets,NBA,"$2,266,794",2004-05,2210
91,New Jersey Nets,NBA,"$10,200,000",2005-06,2210
92,New Jersey Nets,NBA,"$11,200,000",2006-07,2210
93,New Jersey Nets,NBA,"$12,200,000",2007-08,2210
94,Milwaukee Bucks,NBA,"$13,200,000",2008-09,2210
95,San Antonio Spurs,NBA,"$14,200,000",2009-10,2210
