,id,group,pos,name,season,GroupYear
0,1495_2014-15,2,C,Tim Duncan,2014-15,Group 2 (2014-15)
1,2207_2014-15,1,SG,Joe Johnson,2014-15,Group 1 (2014-15)
2,202693_2014-15,2,PF,Markieff Morris,2014-15,Group 2 (2014-15)
3,1717_2014-15,2,PF,Dirk Nowitzki,2014-15,Group 2 (2014-15)
4,101108_2014-15,1,PG,Chris Paul,2014-15,Group 1 (2014-15)
5,200746_2014-15,2,PF,LaMarcus Aldridge,2014-15,Group 2 (2014-15)
6,202330_2014-15,1,SF,Gordon Hayward,2014-15,Group 1 (2014-15)
7,1718_2014-15,3,SF,Paul Pierce,2014-15,Group 3 (2014-15)
8,2216_2014-15,2,PF,Zach Randolph,2014-15,Group 2 (2014-15)
9,2561_2014-15,2,PF,David West,2014-15,Group 2 (2014-15)
10,201152_2014-15,2,PF,Thaddeus Young,2014-15,Group 2 (2014-15)
11,201941_2014-15,2,C,Jordan Hill,2014-15,Group 2 (2014-15)
12,201951_2014-15,1,PG,Ty Lawson,2014-15,Group 1 (2014-15)
13,202340_2014-15,3,SG,Avery Bradley,2014-15,Group 3 (2014-15)
14,203114_2014-15,1,SF,Khris Middleton,2014-15,Group 1 (2014-15)
15,203507_2014-15,4,SG,Giannis Antetokounmpo,2014-15,Group 4 (2014-15)
16,203952_2014-15,2,SF,Andrew Wiggins,2014-15,Group 2 (2014-15)
17,1938_2014-15,6,SG,Manu Ginobili,2014-15,Group 6 (2014-15)
18,2590_2014-15,3,PG,Mo Williams,2014-15,Group 3 (2014-15)
19,201572_2014-15,2,C,Brook Lopez,2014-15,Group 2 (2014-15)
20,201942_2014-15,1,SG,DeMar DeRozan,2014-15,Group 1 (2014-15)
21,202704_2014-15,3,PG,Reggie Jackson,2014-15,Group 3 (2014-15)
22,2037_2014-15,3,SG,Jamal Crawford,2014-15,Group 3 (2014-15)
23,2547_2014-15,2,C,Chris Bosh,2014-15,Group 2 (2014-15)
24,202388_2014-15,6,PG,Donald Sloan,2014-15,Group 6 (2014-15)
25,2199_2014-15,2,C,Tyson Chandler,2014-15,Group 2 (2014-15)
26,2772_2014-15,3,SF,Trevor Ariza,2014-15,Group 3 (2014-15)
27,202325_2014-15,7,SF,Wesley Johnson,2014-15,Group 7 (2014-15)
28,2225_2014-15,1,PG,Tony Parker,2014-15,Group 1 (2014-15)
29,200752_2014-15,1,SF,Rudy Gay,2014-15,Group 1 (2014-15)
30,201954_2014-15,1,PG,Darren Collison,2014-15,Group 1 (2014-15)
31,202695_2014-15,1,SF,Kawhi Leonard,2014-15,Group 1 (2014-15)
32,203496_2014-15,3,SF,Robert Covington,2014-15,Group 3 (2014-15)
33,2399_2014-15,7,SF,Mike Dunleavy,2014-15,Group 7 (2014-15)
34,2738_2014-15,7,SF,Andre Iguodala,2014-15,Group 7 (2014-15)
35,2754_2014-15,7,SG,Tony Allen,2014-15,Group 7 (2014-15)
36,203110_2014-15,7,PF,Draymond Green,2014-15,Group 7 (2014-15)
37,203469_2014-15,8,C,Cody Zeller,2014-15,Group 8 (2014-15)
38,203497_2014-15,2,C,Rudy Gobert,2014-15,Group 2 (2014-15)
39,2403_2014-15,4,PF,Nene,2014-15,Group 4 (2014-15)
40,201163_2014-15,1,SF,Wilson Chandler,2014-15,Group 1 (2014-15)
41,201586_2014-15,2,PF,Serge Ibaka,2014-15,Group 2 (2014-15)
42,2430_2014-15,4,PF,Carlos Boozer,2014-15,Group 4 (2014-15)
43,2746_2014-15,2,PF,Josh Smith,2014-15,Group 2 (2014-15)
44,202328_2014-15,2,PF,Greg Monroe,2014-15,Group 2 (2014-15)
45,203504_2014-15,3,PG,Trey Burke,2014-15,Group 3 (2014-15)
